E1,K,A_lhs,A_rhs,phase_lhs,phase_rhs,phase_diff,N_theory_phase,N_actual,A_Delta,phase_Delta,relative_error
0.001,2.0118712869144417,2.82842712474619,2.82842712474619,8.326672684688675e-17,2.775557561562892e-17,5.551115123125783e-17,1.570092458683775e-16,4.433688098452731,4.433688098452731,4.24953426714443e-16,0.9999999999774454
0.006102564102564103,2.033397726433227,2.82842712474619,2.82842712474619,-4.163336342344337e-17,-1.3877787807814457e-16,9.71445146547012e-17,2.747661802696606e-16,4.34287537656436,4.34287537656436,-2.1691975788527533e-16,0.9999999999769738
0.011205128205128204,2.0805316542806307,2.8284271247461903,2.8284271247461903,1.387778780781446e-17,-1.387778780781445e-17,2.775557561562891e-17,7.850462293418875e-17,4.121079314825585,4.121079314825585,3.809905946326649e-17,0.9999999999757345
0.016307692307692308,2.1579933258820807,2.8284271247461894,2.8284271247461894,9.714451465470123e-17,6.93889390390723e-17,2.775557561562894e-17,7.850462293418881e-17,3.6912468073326954,3.6912468073326954,4.253555886766423e-17,0.9999999999729089
0.02141025641025641,2.2723418165750675,2.8284271247461903,2.82842712474619,-1.1102230246251568e-16,4.163336342344338e-17,-1.5265566588595907e-16,4.3177542613803823e-16,2.923615728285651,2.9236157282856507,-1.3425947564631254e-16,0.9999999999657956
0.026512820512820515,2.4307506786363375,2.8284271247461903,2.8284271247461903,-2.0816681711721685e-17,-4.163336342344337e-17,2.0816681711721685e-17,5.887846720064157e-17,1.6567859740521471,1.6567859740521471,9.476736786005387e-17,0.9999999999396422
0.031615384615384615,2.6397669275827482,2.8284271247461903,2.8284271247461903,2.1684043449710095e-17,1.0408340855860843e-17,1.1275702593849252e-17,3.18925030670142e-17,0.1947332685962031,0.1947332685962031,2.2676582547406685e-16,0.9999999994864769
0.03671794871794872,2.904422119484463,2.8284271247461903,2.82842712474619,5.551115123125783e-17,1.3877787807814457e-17,4.163336342344337e-17,1.1775693440128312e-16,2.395953806085429,2.395953806085429,6.55309987486375e-17,0.9999999999582629
0.04182051282051282,3.227906763808373,2.8284271247461903,2.8284271247461907,0.0,-1.1102230246251568e-16,1.1102230246251568e-16,3.1401849173675513e-16,4.123718528790288,4.123718528790288,-1.5229870300040762e-16,0.9999999999757501
0.04692307692307692,3.611747394294102,2.828427124746188,2.828427124746188,-1.6653345369377356e-16,-2.220446049250315e-16,5.551115123125795e-17,1.5700924586837774e-16,4.161719233298446,4.161719233298446,7.545403092651061e-17,0.9999999999759714
0.05202564102564103,4.056248960055542,2.82842712474619,2.8284271247461894,-2.775557561562892e-17,2.220446049250314e-16,-2.498001805406603e-16,7.06541606407699e-16,2.1107679478440073,2.1107679478440073,-1.4876978402931572e-16,0.9999999999526235
0.05712820512820513,4.5609688310117775,2.828427124746189,2.828427124746189,0.0,-8.326672684688678e-17,8.326672684688678e-17,2.355138688025663e-16,0.22444608346563244,0.2244460834656324,-3.716311756464559e-16,0.9999999995544576
0.06223076923076923,5.125092877074699,2.8284271247461885,2.8284271247461885,-3.816391647148977e-17,-3.4694469519536165e-18,-3.4694469519536154e-17,9.813077866773592e-17,0.2505427518908077,0.2505427518908077,0.0,0.999999999600866
0.06733333333333333,5.747683042148811,2.8284271247461903,2.8284271247461903,2.7755575615628914e-17,-1.249000902703301e-16,1.5265566588595902e-16,4.317754261380382e-16,0.9412762832984681,0.9412762832984681,1.668046339361465e-16,0.9999999998937608
0.07243589743589744,6.427817643932366,2.828427124746189,2.828427124746189,-1.6653345369377356e-16,1.110223024625157e-16,-2.7755575615628923e-16,7.850462293418875e-16,0.5593975657228848,0.5593975657228848,2.1050669794944682e-16,0.9999999998212349
0.07753846153846154,7.164658890223321,2.828427124746191,2.8284271247461907,2.77555756156289e-17,5.55111512312578e-17,-2.77555756156289e-17,7.850462293418873e-17,2.3976240947784713,2.3976240947784713,-5.23882776154314e-16,0.999999999958292
0.08264102564102564,7.957477216059124,2.828427124746189,2.828427124746189,3.469446951953616e-18,-1.3877787807814466e-17,1.7347234759768083e-17,4.9065389333867985e-17,0.4814304759157825,0.4814304759157825,1.630653372843843e-16,0.9999999997922856
0.08774358974358974,8.805652727540352,2.8284271247461876,2.8284271247461876,-1.387778780781447e-16,-1.1102230246251573e-16,-2.775557561562896e-17,7.850462293418882e-17,0.8242863216655052,0.8242863216655052,9.523950703872756e-17,0.9999999998786828
0.09284615384615384,9.708666000873539,2.8284271247461863,2.8284271247461863,8.326672684688685e-17,2.7755575615628957e-17,5.55111512312579e-17,1.570092458683775e-16,3.082227623940366,3.082227623940366,1.2735046289966615e-16,0.999999999967556
0.09794871794871796,10.666084991250045,2.8284271247461876,2.828427124746188,2.775557561562893e-17,-7.632783294297955e-17,1.0408340855860847e-16,2.9439233600320774e-16,1.3907361599749646,1.3907361599749646,1.6934475106105382e-16,0.9999999999280955
0.10305128205128206,11.67755147326755,2.828427124746187,2.8284271247461876,2.775557561562895e-17,-8.32667268468868e-17,1.1102230246251575e-16,3.14018491736755e-16,3.2393622956112744,3.239362295611274,-4.846918360477784e-17,0.9999999999691296
0.10815384615384616,12.7427685636778,2.8284271247461907,2.828427124746191,-2.77555756156289e-17,1.387778780781445e-17,-4.163336342344335e-17,1.177569344012831e-16,0.13793063726657054,0.13793063726657054,3.5572509709385413e-17,0.999999999274997
0.11325641025641026,13.861489891432626,2.8284271247461885,2.828427124746189,2.7755575615628926e-17,5.551115123125786e-17,-2.775557561562894e-17,7.85046229341888e-17,1.0593294059053637,1.0593294059053637,3.7053924160206886e-16,0.9999999999056006
0.11835897435897436,15.033510494847652,2.828427124746185,2.828427124746185,1.1102230246251585e-16,-8.326672684688688e-17,1.9428902930940274e-16,5.495323605393213e-16,4.866742849435933,4.8667428494359335,-1.613083439230565e-16,0.9999999999794522
0.12346153846153846,16.25865930978441,2.828427124746188,2.828427124746188,-4.16333634234434e-17,1.9428902930940257e-16,-2.3592239273284596e-16,6.672892949406045e-16,4.378486605383872,4.378486605383872,1.0757775004403292e-16,0.9999999999771608
0.12856410256410256,17.53679303486465,2.8284271247461903,2.8284271247461903,-2.220446049250313e-16,-2.7755575615628914e-17,-1.942890293094024e-16,5.495323605393213e-16,1.1354442707247647,1.1354442707247647,-2.0742001600152121e-16,0.9999999999119283
0.13366666666666666,18.867791148540668,2.828427124746188,2.828427124746188,-1.387778780781447e-17,-9.714451465470125e-17,8.326672684688678e-17,2.355138688025662e-16,0.026406850211607602,0.026406850211607602,-2.7870830262236495e-16,0.9999999962130949
0.13876923076923078,20.251551870935344,2.828427124746188,2.8284271247461876,1.387778780781447e-16,-8.32667268468868e-17,2.220446049250315e-16,6.280369834735102e-16,3.807785391948586,3.807785391948586,-2.0616871712408925e-16,0.9999999999737379
0.14387179487179488,21.687988891865864,2.828427124746189,2.8284271247461885,-8.32667268468868e-17,-8.326672684688679e-17,-1.232595164407831e-32,3.4863055968420973e-32,3.0944918875725214,3.094491887572522,3.297989250652175e-16,0.9999999999676845
0.14897435897435898,23.177028716368905,2.828427124746191,2.8284271247461907,-1.2490009027033009e-16,1.387778780781445e-17,-1.3877787807814454e-16,3.925231146709438e-16,1.4586999895895505,1.4586999895895505,1.3454552597254495e-16,0.9999999999314455
0.15407692307692308,24.718608506442045,2.8284271247461925,2.8284271247461925,1.1102230246251556e-16,5.551115123125778e-17,5.551115123125778e-17,1.570092458683775e-16,1.6168389902211842,1.6168389902211842,0.0,0.9999999999381508
0.15917948717948718,26.312674321243993,2.828427124746189,2.8284271247461885,-3.469446951953616e-17,-1.040834085586085e-17,-2.4286128663675312e-17,6.869154506741517e-17,0.2947161964455352,0.2947161964455352,0.0,0.9999999996606903
0.16428205128205128,27.95917967749348,2.828427124746185,2.8284271247461845,-5.551115123125794e-17,-8.326672684688691e-17,2.7755575615628975e-17,7.850462293418877e-17,4.411420040051459,4.411420040051459,7.118308591922072e-17,0.9999999999773316
0.16938461538461538,29.658084367631247,2.8284271247461965,2.8284271247461965,8.326672684688656e-17,1.9428902930940193e-16,-1.1102230246251537e-16,3.1401849173675493e-16,4.984952130429049,4.98495213042905,3.149664064173549e-17,0.9999999999799396
0.17448717948717948,31.409353485995126,2.8284271247461925,2.8284271247461925,-3.686287386450713e-18,-1.0408340855860833e-17,6.7220534694101206e-18,1.9012838366873835e-17,9.541864632051783e-07,9.541864632051783e-07,-1.5692497325943313e-16,0.9998952096431536
0.17958974358974358,33.212956623353676,2.828427124746201,2.828427124746201,1.1102230246251521e-16,-5.5511151231257605e-17,1.6653345369377282e-16,4.710277376051325e-16,4.962945862907945,4.962945862907945,1.265452013424792e-16,0.9999999999798505
0.18469230769230768,35.06886719814713,2.828427124746178,2.8284271247461783,-1.3877787807814513e-16,0.0,-1.3877787807814513e-16,3.9252311467094373e-16,4.0421087335884565,4.0421087335884565,7.768679974573059e-17,0.9999999999752605
0.18979487179487178,36.97706189911946,2.8284271247461827,2.8284271247461827,1.387778780781449e-17,-2.775557561562898e-17,4.163336342344347e-17,1.177569344012831e-16,0.7335869928233915,0.7335869928233915,1.0701474222170194e-16,0.9999999998636834
0.1948974358974359,38.937520219038795,2.82842712474619,2.82842712474619,-5.551115123125784e-17,-8.326672684688673e-17,2.775557561562889e-17,7.850462293418867e-17,1.534743356747099,1.534743356747099,-5.1151629090990136e-17,0.9999999999348426
0.2,40.950224063175504,2.828427124746186,2.828427124746186,2.2204460492503165e-16,1.1102230246251583e-16,1.1102230246251583e-16,3.1401849173675503e-16,2.7459052208488792,2.7459052208488792,-1.1435882395084205e-16,0.999999999963582
