E1,K_fro,K_spec,K_pauli,off_diag_im,off_diag_re,max_off_diag,im_trace,N_fro,N_spec,N_pauli
0.001,2.0118712869144417,2.011871286906878,0.06329633740288568,0.014065852756196817,0.0,0.06329633740288569,-2.0118768035516092,4.433688098452731,4.433688098483465,0.0008508298900590933
0.006102564102564103,2.033397726433227,2.0333440539312853,0.21637326047980876,0.048082946773290836,0.0,0.21637326047980876,-2.0481180921775133,4.34287537656436,4.34311007857583,0.03346184960525925
0.011205128205128204,2.0805316542806307,2.079759660196771,0.3694501835567318,0.08210004079038485,0.0,0.3694501835567318,-2.1364317016449688,4.121079314825585,4.124961054812666,0.16119853614130303
0.016307692307692308,2.1579933258820807,2.1545254259099598,0.522527106633655,0.11611713480747889,0.0,0.522527106633655,-2.276817631953976,3.6912468073326954,3.7121455388764018,0.43365585759171366
0.02141025641025641,2.2723418165750675,2.262955897710487,0.6756040297105781,0.15013422882457292,0.0,0.6756040297105781,-2.469275883104535,2.923615728285651,2.9919719435471985,0.875286703501402
0.026512820512820515,2.4307506786363375,2.411933114288245,0.8286809527875012,0.18415132284166694,0.0,0.8286809527875012,-2.7138064550966456,1.6567859740521471,1.8165885561631077,1.4800352841099427
0.031615384615384615,2.6397669275827482,2.609081299976089,0.9817578758644241,0.2181684168587609,0.0,0.9817578758644242,-3.0104093479303073,0.1947332685962031,0.07986336577222211,2.2103476051614965
0.03671794871794872,2.904422119484463,2.8614778336444417,1.1348347989413472,0.25218551087585495,0.0,1.1348347989413472,-3.3590845616055214,2.395953806085429,2.071912838833619,3.0007587877767024
0.04182051282051282,3.227906763808373,3.1743683222536276,1.2879117220182703,0.28620260489294896,0.0,1.2879117220182703,-3.7598320961222864,4.123718528790288,3.938796323516735,3.7656307908049165
0.04692307692307692,3.611747394294102,3.5505387384649585,1.4409886450951932,0.3202196989100429,0.0,1.4409886450951932,-4.212651951480604,4.161719233298446,4.299879878964189,4.410042700986157
0.05202564102564103,4.056248960055542,3.990572346908819,1.5940655681721165,0.354236792927137,0.0,1.5940655681721165,-4.717544127680473,2.1107679478440073,2.4801006126122886,4.842396195502871
0.05712820512820513,4.5609688310117775,4.493623895893293,1.7471424912490394,0.38825388694423096,0.0,1.7471424912490394,-5.274508624721893,0.22444608346563244,0.019139194774992457,4.987050524565409
0.06223076923076923,5.125092877074699,5.05819936910334,1.9002194143259623,0.422270980961325,0.0,1.9002194143259625,-5.883545442604863,0.2505427518908077,0.37845409097195776,4.79527836916872
0.06733333333333333,5.747683042148811,5.682680849641792,2.0532963374028856,0.45628807497841906,0.0,2.0532963374028856,-6.544654581329386,0.9412762832984681,0.8968446822132145,4.2530400808946975
0.07243589743589744,6.427817643932366,6.365590056460421,2.206373260479809,0.49030516899551313,0.0,2.206373260479809,-7.257836040895463,0.5593975657228848,0.3113896178645643,3.384482352124091
0.07753846153846154,7.164658890223321,7.1056806440113025,2.359450183556732,0.5243222630126071,0.0,2.359450183556732,-8.023089821303088,2.3976240947784713,2.415957993755119,2.2506244448813764
0.08264102564102564,7.957477216059124,7.901943649280196,2.5125271066336547,0.5583393570297011,0.0,2.5125271066336547,-8.840415922552266,0.4814304759157825,0.2275025232370646,0.9433269342044652
0.08774358974358974,8.805652727540352,8.753578269908559,2.665604029710578,0.5923564510467951,0.0,2.665604029710578,-9.709814344642997,0.8242863216655052,1.0326993189882063,0.42473940828360573
0.09284615384615384,9.708666000873539,9.659954008788024,2.818680952787501,0.6263735450638891,0.0,2.818680952787501,-10.631285087575279,3.082227623940366,3.0283252856332585,1.7328762935151303
0.09794871794871796,10.666084991250045,10.620575074925052,2.9717578758644243,0.6603906390809832,0.0,2.9717578758644243,-11.604828151349114,1.3907361599749646,1.071107206885479,2.8662759167422407
0.10305128205128206,11.67755147326755,11.635050545923297,3.124834798941347,0.6944077330980771,0.0,3.124834798941347,-12.630443535964496,3.2393622956112744,3.3889117759011467,3.7293020102581327
0.10815384615384616,12.7427685636778,12.703070647270279,3.2779117220182705,0.7284248271151712,0.0,3.2779117220182705,-13.708131241421434,0.13793063726657054,0.12423535589836807,4.2564386227081705
0.11325641025641026,13.861489891432626,13.824388373200831,3.4309886450951934,0.7624419211322652,0.0,3.4309886450951934,-14.837891267719922,1.0593294059053637,0.9065359667956464,4.4195113550270175
0.11835897435897436,15.033510494847652,14.998805413242076,3.5840655681721163,0.7964590151493591,0.0,3.5840655681721163,-16.01972361485996,4.866742849435933,4.9603465924135,4.230269432157921
0.12346153846153846,16.25865930978441,16.226161418996803,3.737142491249039,0.8304761091664532,0.0,3.737142491249039,-17.25362828284155,4.378486605383872,4.211559558909892,3.7380203290292027
