E1,K,A_lhs,A_rhs,A_delta,angle_rad,angle_deg,N_theory_angular,N_actual,relative_error,phase_spread_lhs,phase_spread_rhs,angle_range_lhs,angle_range_rhs
0.001,2.0118712869144417,2.82842712474619,2.82842712474619,4.433688098452731,1.8014350544558433,103.21462568723945,4.4336880984527305,4.433688098452731,2.0032496647431047e-16,0.9789181146775331,0.9789181146775332,1.9578362293550664,1.9578362293550664
0.006102564102564103,2.033397726433227,2.82842712474619,2.82842712474619,4.34287537656436,1.7505481579099031,100.29902128263822,4.34287537656436,4.34287537656436,0.0,0.9477770278403406,0.9477770278403406,1.8955540556806816,1.8955540556806816
0.011205128205128204,2.0805316542806307,2.8284271247461903,2.8284271247461903,4.121079314825585,1.6322909973947257,93.52338508791743,4.121079314825585,4.121079314825585,0.0,0.8781135199600768,0.8781135199600767,1.7562270399201538,1.7562270399201538
0.016307692307692308,2.1579933258820807,2.8284271247461894,2.8284271247461894,3.6912468073326954,1.4218273948381417,81.4647089203064,3.6912468073326954,3.6912468073326954,0.0,0.759742702207142,0.759742702207142,1.5194854044142843,1.5194854044142843
0.02141025641025641,2.2723418165750675,2.8284271247461903,2.82842712474619,2.9236157282856507,1.086281095357342,62.23932212882382,2.923615728285651,2.923615728285651,0.0,0.5779243235117216,0.5779243235117215,1.1558486470234435,1.1558486470234433
0.026512820512820515,2.4307506786363375,2.8284271247461903,2.8284271247461903,1.6567859740521471,0.5944774765105607,34.06105041964266,1.656785974052148,1.6567859740521471,5.360851875599965e-16,0.316413495714749,0.316413495714749,0.6328269914294984,0.6328269914294982
0.031615384615384615,2.6397669275827482,2.8284271247461903,2.8284271247461903,0.1947332685962031,0.06886221260494008,3.945514150195645,0.19473326859620693,0.1947332685962031,1.9669312083146233e-14,0.036947988167870045,0.036947988167870094,0.07389597633574019,0.07389597633574033
0.03671794871794872,2.904422119484463,2.8284271247461903,2.82842712474619,2.395953806085429,0.874718579903883,50.11768289016936,2.395953806085429,2.395953806085429,0.0,0.4811994844967905,0.4811994844967905,0.9623989689935812,0.9623989689935813
0.04182051282051282,3.227906763808373,2.8284271247461903,2.8284271247461907,4.123718528790288,1.6336536170952773,93.60145744584042,4.123718528790289,4.123718528790288,2.1538289130978543e-16,0.9843547639944515,0.9843547639944515,1.9687095279889033,1.9687095279889033
0.04692307692307692,3.611747394294102,2.828427124746188,2.828427124746188,4.161719233298446,1.6533843666998678,94.73194612481288,4.161719233298446,4.161719233298446,0.0,1.433962215196787,1.433962215196787,2.8679244303935745,2.8679244303935745
0.05202564102564103,4.056248960055542,2.82842712474619,2.8284271247461894,2.1107679478440073,0.764770657114411,43.81813094810237,2.110767947844008,2.1107679478440073,2.1039224623560705e-16,1.5469273470557305,1.54692734705573,3.093854694111461,3.0938546941114606
0.05712820512820513,4.5609688310117775,2.828427124746189,2.828427124746189,0.2244460834656324,0.0793745090164744,4.547824367567082,0.22444608346563433,0.22444608346563244,8.409053577051433e-15,1.0753942741810931,1.0753942741810931,2.1507885483621867,2.1507885483621867
0.06223076923076923,5.125092877074699,2.8284271247461885,2.8284271247461885,0.2505427518908077,0.08860922506327885,5.076934622050714,0.250542751890803,0.2505427518908077,1.8832905031832782e-14,0.18791626509310974,0.18791626509310977,0.37583253018621954,0.37583253018621987
0.06733333333333333,5.747683042148811,2.8284271247461903,2.8284271247461903,0.9412762832984681,0.3343465722306689,19.15664748348326,0.9412762832984689,0.9412762832984681,8.256408144394073e-16,0.8392398520961131,0.8392398520961131,1.6784797041922261,1.6784797041922264
0.07243589743589744,6.427817643932366,2.828427124746189,2.828427124746189,0.5593975657228848,0.1981006737891599,11.350332526816752,0.5593975657228868,0.5593975657228848,3.572417125887193e-15,1.5511564960537936,1.5511564960537936,3.1023129921075867,3.102312992107587
0.07753846153846154,7.164658890223321,2.828427124746191,2.8284271247461907,2.3976240947784713,0.875370526763814,50.155036693710215,2.3976240947784717,2.3976240947784713,1.8522053177504968e-16,1.094760330351459,1.0947603303514588,2.189520660702918,2.189520660702918
0.08264102564102564,7.957477216059124,2.828427124746189,2.828427124746189,0.4814304759157825,0.17041752258553378,9.76420479922647,0.481430475915782,0.4814304759157825,1.0377414517167839e-15,0.175411458953347,0.17541145895334695,0.3508229179066942,0.35082291790669407
0.08774358974358974,8.805652727540352,2.8284271247461876,2.8284271247461876,0.8242863216655052,0.29247051129791724,16.75732592940392,0.8242863216655056,0.8242863216655052,5.387560100462253e-16,1.3970575903075866,1.3970575903075868,2.794115180615173,2.794115180615174
0.09284615384615384,9.708666000873539,2.8284271247461863,2.8284271247461863,3.082227623940366,1.1524586355545816,66.031015880683,3.082227623940366,3.082227623940366,0.0,1.1908120953315005,1.1908120953315005,2.3816241906630014,2.3816241906630014
0.09794871794871796,10.666084991250045,2.8284271247461876,2.828427124746188,1.3907361599749646,0.49679248747304633,28.464112826011373,1.3907361599749652,1.3907361599749646,4.78979287300035e-16,0.32791108272904107,0.3279110827290411,0.6558221654580823,0.6558221654580825
0.10305128205128206,11.67755147326755,2.828427124746187,2.8284271247461876,3.239362295611274,1.2194542113673084,69.86957962080099,3.2393622956112744,3.2393622956112744,0.0,1.555472545684348,1.555472545684348,3.110945091368696,3.110945091368696
0.10815384615384616,12.7427685636778,2.8284271247461907,2.828427124746191,0.13793063726657054,0.04877067786654081,2.7943540057448866,0.13793063726656887,0.13793063726657054,1.2073710154125282e-14,0.5804332760978145,0.5804332760978146,1.1608665521956292,1.1608665521956296
0.11325641025641026,13.861489891432626,2.8284271247461885,2.828427124746189,1.0593294059053637,0.3767537913960386,21.58640216254524,1.0593294059053624,1.0593294059053637,1.257651889957487e-15,1.201014091818887,1.201014091818887,2.4020281836377744,2.4020281836377744
0.11835897435897436,15.033510494847652,2.828427124746185,2.828427124746185,4.8667428494359335,2.0718205445886855,118.70657311342747,4.8667428494359335,4.866742849435933,1.824995581561942e-16,1.0746228036334196,1.0746228036334193,2.149245607266839,2.149245607266839
0.12346153846153846,16.25865930978441,2.828427124746188,2.828427124746188,4.378486605383872,1.770313963539091,101.43151852386661,4.3784866053838725,4.378486605383872,2.0285055082450609e-16,0.8978682220662277,0.8978682220662276,1.7957364441324557,1.7957364441324555
0.12856410256410256,17.53679303486465,2.8284271247461903,2.8284271247461903,1.1354442707247647,0.404185821114515,23.158141688891387,1.1354442707247654,1.1354442707247647,5.866723994223224e-16,1.2226032041790456,1.2226032041790456,2.4452064083580916,2.4452064083580916
0.13366666666666666,18.867791148540668,2.828427124746188,2.828427124746188,0.026406850211607602,0.009336265335655876,0.5349286001473726,0.026406850211638012,0.026406850211607602,1.1515838570307e-12,0.8846557062506382,0.8846557062506382,1.7693114125012768,1.7693114125012765
0.13876923076923078,20.251551870935344,2.828427124746188,2.8284271247461876,3.807785391948586,1.4768600880190732,84.61784997481217,3.807785391948587,3.807785391948586,2.332532767090337e-16,1.0988936037683292,1.0988936037683295,2.197787207536659,2.197787207536659
0.14387179487179488,21.687988891865864,2.828427124746189,2.8284271247461885,3.094491887572522,1.1576340747241551,66.32754670222626,3.0944918875725222,3.0944918875725214,2.8701914625737026e-16,1.1664936051043977,1.1664936051043977,2.3329872102087954,2.3329872102087954
0.14897435897435898,23.177028716368905,2.828427124746191,2.8284271247461907,1.4586999895895505,0.5216219048915547,29.886733651860514,1.458699989589551,1.4586999895895505,3.044417721183205e-16,0.6411696286037365,0.6411696286037364,1.282339257207473,1.2823392572074732
0.15407692307692308,24.718608506442045,2.8284271247461925,2.8284271247461925,1.6168389902211842,0.5797228913310166,33.21567496038851,1.6168389902211842,1.6168389902211842,0.0,1.5377450208826053,1.5377450208826053,3.0754900417652107,3.075490041765211
0.15917948717948718,26.312674321243993,2.828427124746189,2.8284271247461885,0.2947161964455352,0.10424510560244811,5.97280458591585,0.29471619644553537,0.2947161964455352,5.650637991592131e-16,0.22478130974855315,0.22478130974855312,0.4495626194971065,0.4495626194971064
0.16428205128205128,27.95917967749348,2.828427124746185,2.8284271247461845,4.411420040051459,1.7888083924676847,102.4911712459797,4.411420040051458,4.411420040051459,2.0133617103249843e-16,1.2807144684397969,1.2807144684397969,2.5614289368795937,2.5614289368795937
0.16938461538461538,29.658084367631247,2.8284271247461965,2.8284271247461965,4.98495213042905,2.156888047610001,123.58058201026523,4.984952130429049,4.984952130429049,0.0,1.3045472132069822,1.3045472132069824,2.609094426413965,2.6090944264139653
0.17448717948717948,31.409353485995126,2.8284271247461925,2.8284271247461925,9.541864632051783e-07,3.375038997204953e-07,1.9337549023190945e-05,9.546051846770632e-07,9.541864632051783e-07,0.0004387796411556679,0.011154777748473713,0.011154777748473768,0.02230955549694755,0.02230955549694771
0.17958974358974358,33.212956623353676,2.828427124746201,2.828427124746201,4.962945862907945,2.14055276448629,122.64463923012529,4.962945862907944,4.962945862907945,1.789619399881621e-16,1.2603187715870927,1.260318771587093,2.5206375431741854,2.5206375431741863
0.18469230769230768,35.06886719814713,2.828427124746178,2.8284271247461783,4.0421087335884565,1.5919630957093462,91.21276652472667,4.0421087335884565,4.0421087335884565,0.0,1.4663001854798083,1.4663001854798081,2.9326003709596167,2.9326003709596167
