cxy,cyx,cxz,min_abs,site,max_weight,maj_score
0.09,0.09,0.0,1.6183904508055963e-10,198,0.11989382352015696,0.7071067819996399
0.09,0.09,0.0125,1.6183904508055963e-10,198,0.11989382352015696,0.7071067819996399
0.09,0.09,0.025,1.6183904508055963e-10,198,0.11989382352015696,0.7071067819996399
0.09,0.09,0.037500000000000006,1.6183904508055963e-10,198,0.11989382352015696,0.7071067819996399
0.09,0.09,0.05,1.6183904508055963e-10,198,0.11989382352015696,0.7071067819996399
0.09,0.09999999999999999,0.0,8.800076339561463e-11,198,0.1239876734939567,0.5108058158628072
0.09,0.09999999999999999,0.0125,8.800076339561463e-11,198,0.1239876734939567,0.5108058158628072
0.09,0.09999999999999999,0.025,8.800076339561463e-11,198,0.1239876734939567,0.5108058158628072
0.09,0.09999999999999999,0.037500000000000006,8.800076339561463e-11,198,0.1239876734939567,0.5108058158628072
0.09,0.09999999999999999,0.05,8.800076339561463e-11,198,0.1239876734939567,0.5108058158628072
0.09,0.11,0.0,4.2671111306739775e-11,198,0.12786808312031145,0.7921441419810397
0.09,0.11,0.0125,4.2671111306739775e-11,198,0.12786808312031145,0.7921441419810397
0.09,0.11,0.025,4.2671111306739775e-11,198,0.12786808312031145,0.7921441419810397
0.09,0.11,0.037500000000000006,4.2671111306739775e-11,198,0.12786808312031145,0.7921441419810397
0.09,0.11,0.05,4.2671111306739775e-11,198,0.12786808312031145,0.7921441419810397
0.09,0.12,0.0,1.920258000370302e-11,198,0.13154267461800326,0.800664783293533
0.09,0.12,0.0125,1.920258000370302e-11,198,0.13154267461800326,0.800664783293533
0.09,0.12,0.025,1.920258000370302e-11,198,0.13154267461800326,0.800664783293533
0.09,0.12,0.037500000000000006,1.920258000370302e-11,198,0.13154267461800326,0.800664783293533
0.09,0.12,0.05,1.920258000370302e-11,198,0.13154267461800326,0.800664783293533
0.09,0.13,0.0,8.333225741289983e-12,198,0.13503301222866,0.5472038685643987
0.09,0.13,0.0125,8.333225741289983e-12,198,0.13503301222866,0.5472038685643987
0.09,0.13,0.025,8.333225741289983e-12,198,0.13503301222866,0.5472038685643987
0.09,0.13,0.037500000000000006,8.333225741289983e-12,198,0.13503301222866,0.5472038685643987
0.09,0.13,0.05,8.333225741289983e-12,198,0.13503301222866,0.5472038685643987
0.09,0.14,0.0,3.580697411298545e-12,198,0.13834279176990133,0.875379447886499
0.09,0.14,0.0125,3.580697411298545e-12,198,0.13834279176990133,0.875379447886499
0.09,0.14,0.025,3.580697411298545e-12,198,0.13834279176990133,0.875379447886499
0.09,0.14,0.037500000000000006,3.580697411298545e-12,198,0.13834279176990133,0.875379447886499
0.09,0.14,0.05,3.580697411298545e-12,198,0.13834279176990133,0.875379447886499
