cxy,cyx,cxz,min_abs_E
0.2,0.05,0.15,5.024758e-02
0.2,0.05,0.2,5.024758e-02
0.2,0.1,0,8.043617e-05
0.2,0.1,0.05,8.043617e-05
0.2,0.1,0.1,8.043617e-05
0.2,0.1,0.15,8.043617e-05
0.2,0.1,0.2,8.043617e-05
0.2,0.15,0,7.069832e-08
0.2,0.15,0.05,7.069832e-08
0.2,0.15,0.1,7.069832e-08
0.2,0.15,0.15,7.069832e-08
0.2,0.15,0.2,7.069832e-08
0.2,0.2,0,1.355223e-12
0.2,0.2,0.05,1.355223e-12
0.2,0.2,0.1,1.355223e-12
0.2,0.2,0.15,1.355223e-12
0.2,0.2,0.2,1.355223e-12
0.2,0.25,0,3.332876e-10
0.2,0.25,0.05,3.332876e-10
0.2,0.25,0.1,3.332876e-10
0.2,0.25,0.15,3.332876e-10
0.2,0.25,0.2,3.332876e-10
0.2,0.3,0,3.457418e-09
0.2,0.3,0.05,3.457418e-09
0.2,0.3,0.1,3.457418e-09
0.2,0.3,0.15,3.457418e-09
0.2,0.3,0.2,3.457418e-09
0.25,0,0,3.052202e-01
0.25,0,0.05,3.052202e-01
0.25,0,0.1,3.052202e-01
0.25,0,0.15,3.052202e-01
0.25,0,0.2,3.052202e-01
0.25,0.05,0,1.178613e-01
0.25,0.05,0.05,1.178613e-01
0.25,0.05,0.1,1.178613e-01
0.25,0.05,0.15,1.178613e-01
0.25,0.05,0.2,1.178613e-01
0.25,0.1,0,4.649293e-04
0.25,0.1,0.05,4.649293e-04
0.25,0.1,0.1,4.649293e-04
0.25,0.1,0.15,4.649293e-04
0.25,0.1,0.2,4.649293e-04
0.25,0.15,0,5.163000e-07
0.25,0.15,0.05,5.163000e-07
0.25,0.15,0.1,5.163000e-07
0.25,0.15,0.15,5.163000e-07
0.25,0.15,0.2,5.163000e-07
0.25,0.2,0,3.332870e-10
0.25,0.2,0.05,3.332870e-10
0.25,0.2,0.1,3.332870e-10
0.25,0.2,0.15,3.332870e-10
0.25,0.2,0.2,3.332870e-10
0.25,0.25,0,1.400515e-13
0.25,0.25,0.05,1.400515e-13
0.25,0.25,0.1,1.400515e-13
0.25,0.25,0.15,1.400515e-13
0.25,0.25,0.2,1.400515e-13
0.25,0.3,0,1.491181e-12
0.25,0.3,0.05,1.491181e-12
0.25,0.3,0.1,1.491181e-12
0.25,0.3,0.15,1.491181e-12
0.25,0.3,0.2,1.491181e-12
0.3,0,0,3.613981e-01
0.3,0,0.05,3.613981e-01
0.3,0,0.1,3.613981e-01
0.3,0,0.15,3.613981e-01
0.3,0,0.2,3.613981e-01
0.3,0.05,0,1.873860e-01
0.3,0.05,0.05,1.873860e-01
0.3,0.05,0.1,1.873860e-01
0.3,0.05,0.15,1.873860e-01
0.3,0.05,0.2,1.873860e-01
0.3,0.1,0,2.485288e-03
0.3,0.1,0.05,2.485288e-03
0.3,0.1,0.1,2.485288e-03
0.3,0.1,0.15,2.485288e-03
0.3,0.1,0.2,2.485288e-03
0.3,0.15,0,3.936382e-06
0.3,0.15,0.05,3.936382e-06
0.3,0.15,0.1,3.936382e-06
0.3,0.15,0.15,3.936382e-06
0.3,0.15,0.2,3.936382e-06
0.3,0.2,0,3.457418e-09
0.3,0.2,0.05,3.457418e-09
0.3,0.2,0.1,3.457418e-09
0.3,0.2,0.15,3.457418e-09
0.3,0.2,0.2,3.457418e-09
0.3,0.25,0,1.491559e-12
0.3,0.25,0.05,1.491559e-12
0.3,0.25,0.1,1.491559e-12
0.3,0.25,0.15,1.491559e-12
0.3,0.25,0.2,1.491559e-12
0.3,0.3,0,2.777207e-16
0.3,0.3,0.05,2.777207e-16
0.3,0.3,0.1,2.777207e-16
0.3,0.3,0.15,2.777207e-16
0.3,0.3,0.2,2.777207e-16
