t,err
0.0,0.0
0.005,0.004743291955055754
0.01,0.009486070811295726
0.015,0.014227823692563793
0.02,0.018968038033017415
0.025,0.023706201679374404
0.03,0.028441803263082394
0.035,0.0331743323541286
0.04,0.03790327960975318
0.045,0.042628136923915164
0.05,0.047348397577653356
0.055,0.052063556390481595
0.06,0.056773109895353044
0.065,0.061476556766124485
0.07,0.06617339765354695
0.075,0.07086313553732224
0.08,0.07554527597612196
0.085,0.08021932726665024
0.09,0.08488480060441515
0.095,0.0895412102463117
0.1,0.09418807367511356
0.105,0.09882491176596556
0.11,0.10345124905175804
0.115,0.10806661405058075
0.12,0.11267053914516877
0.125,0.11726256102699617
0.13,0.12184222088973615
0.135,0.1264090646074057
0.14,0.1309626429147555
0.145,0.13550251158993515
0.15,0.14002823163945424
0.155,0.14453936948545654
0.16,0.14903549734002558
0.165,0.15351619332163682
0.17,0.15798104157843101
0.17500000000000002,0.16242963266366534
0.18,0.16686156373227154
0.185,0.17127643873942208
0.19,0.17567386864104717
0.195,0.1800534715962403
0.2,0.18441487317147726
0.20500000000000002,0.18875770655642715
0.21,0.1930816129781552
0.215,0.1973862417002133
0.22,0.2016712503283728
0.225,0.20593630510351654
0.23,0.21018108111228664
0.23500000000000001,0.2144052624985804
0.24,0.21860854267574045
0.245,0.22279062453927273
0.25,0.22695122067991905
0.255,0.23109005363024543
0.26,0.2352068562278221
0.265,0.2393013716205876
0.27,0.24337335362550103
0.275,0.24742256696547943
0.28,0.2514487874781199
0.28500000000000003,0.25545180232314957
0.29,0.2594314101883575
0.295,0.2633874214937501
0.3,0.2673196585936654
0.305,0.27122795604615935
0.31,0.2751121608451896
0.315,0.2789721325065029
0.32,0.28280774337669634
0.325,0.2866188788213119
0.33,0.2904054374067497
0.335,0.2941673310779718
0.34,0.29790448533167396
0.34500000000000003,0.3016168393845987
0.35000000000000003,0.30530434633888914
0.355,0.30896697343793056
0.36,0.31260470213418523
0.365,0.3162175282586344
0.37,0.319805462209126
0.375,0.323368529081078
0.38,0.3269067687908487
0.385,0.3304202361914146
0.39,0.3339090011799995
0.395,0.3373731487972964
0.4,0.34081277932851434
0.405,0.34422800846362417
0.41000000000000003,0.3476189672695705
0.41500000000000004,0.3509858023138694
0.42,0.35432867573507476
0.425,0.3576477652834006
0.43,0.3609432643504143
0.435,0.36421538198745396
0.44,0.36746434291243163
0.445,0.3706903875046837
0.45,0.3738937717989932
0.455,0.37707476751617863
0.46,0.38023366193646063
0.465,0.38337075789829705
0.47000000000000003,0.3864863737411571
0.47500000000000003,0.3895808432222662
0.48,0.39265451541928437
0.485,0.3957077546186568
0.49,0.39874094018939193
0.495,0.40175446644203155
0.5,0.4047487424753675
0.505,0.40772419205910526
0.51,0.41068125339096306
0.515,0.41362037891700093
0.52,0.4165420351349562
0.525,0.4194467023615812
0.53,0.42233487448407303
0.535,0.42520705869551517
0.54,0.428063775214276
0.545,0.4309055569873341
0.55,0.433732949377526
0.555,0.4365465098481568
0.56,0.4393468076480188
0.5650000000000001,0.44213442340146
0.5700000000000001,0.4449099487668761
0.5750000000000001,0.44767398604946246
0.58,0.4504271477955907
0.585,0.4531700563719258
0.59,0.45590334352951734
0.595,0.45862764995313826
0.6,0.4613436247961685
0.605,0.46405192520136396
0.61,0.4667532158136747
0.615,0.46944816829785013
0.62,0.4721374607941017
0.625,0.47482177739755005
0.63,0.47750180761944844
0.635,0.4801782458353891
0.64,0.48285179072276896
0.645,0.4855231446881278
0.65,0.48819301328500553
0.655,0.4908621046229954
0.66,0.4935311287687055
0.665,0.49620079713936593
0.67,0.4988718218837775
0.675,0.5015449152909787
0.68,0.5042207891576537
0.685,0.5069001541470146
0.6900000000000001,0.5095837191619568
0.6950000000000001,0.5122721907158949
0.7000000000000001,0.5149662723021874
0.705,0.5176666637630739
0.71,0.5203740606590675
0.715,0.5230891536397496
0.72,0.5258126278169313
0.725,0.5285451621411534
0.73,0.5312874287551369
0.735,0.5340400923934457
0.74,0.536803809839301
0.745,0.5395792292484956
0.75,0.5423669895605463
0.755,0.5451677199212421
0.76,0.5479820391152443
0.765,0.5508105550096493
0.77,0.5536538640094094
0.775,0.5565125505254861
0.78,0.5593871864565836
0.785,0.5622783306852859
0.79,0.5651865285893916
0.795,0.568112311504378
0.8,0.5710561962934927
0.805,0.5740186850391289
0.81,0.5770002644791719
0.8150000000000001,0.58000140560968
0.8200000000000001,0.5830225633097285
0.8250000000000001,0.5860641759858827
0.8300000000000001,0.5891266652367734
0.835,0.592210435538187
0.84,0.5953158739490517
0.845,0.5984433498386418
0.85,0.601593214635279
0.855,0.6047658015967654
0.86,0.6079614256027204
0.865,0.6111803828237686
0.87,0.6144229507091394
0.875,0.6176893879418243
0.88,0.6209799341421229
0.885,0.6242948097809077
0.89,0.6276342161147462
0.895,0.6309983351426749
0.9,0.6343873295844228
0.905,0.637801342879851
0.91,0.6412404992093227
0.915,0.6447049035346988
0.92,0.6481946416606056
0.925,0.6517097803155977
0.93,0.655250367252802
0.935,0.6588164313695836
0.9400000000000001,0.66240798270321
0.9450000000000001,0.6660250127082923
0.9500000000000001,0.6696674945199553
0.9550000000000001,0.6733353830160645
0.96,0.6770286150361744
0.965,0.6807471096161042
0.97,0.6844907682375505
0.975,0.6882594750921525
0.98,0.6920530973594029
0.985,0.6958714854978055
0.99,0.6997144735486669
0.995,0.7035818794519193
1.0,0.707473505373362
