Solutions (theta_x,theta_y,theta_z) in {0,pi/2,pi,3pi/2} that make U=0:
(0.0, 0.0, 0.0)
(0.0, 0.0, 1.5707963267948966)
(0.0, 0.0, 3.141592653589793)
(0.0, 0.0, 4.71238898038469)
(0.0, 1.5707963267948966, 3.141592653589793)
(0.0, 3.141592653589793, 3.141592653589793)
(0.0, 4.71238898038469, 3.141592653589793)
(1.5707963267948966, 0.0, 0.0)
(1.5707963267948966, 3.141592653589793, 3.141592653589793)
(3.141592653589793, 0.0, 0.0)
(3.141592653589793, 1.5707963267948966, 0.0)
(3.141592653589793, 3.141592653589793, 0.0)
(3.141592653589793, 3.141592653589793, 1.5707963267948966)
(3.141592653589793, 3.141592653589793, 3.141592653589793)
(3.141592653589793, 3.141592653589793, 4.71238898038469)
(3.141592653589793, 4.71238898038469, 0.0)
(4.71238898038469, 0.0, 0.0)
(4.71238898038469, 3.141592653589793, 3.141592653589793)
