Jx,Jy,Jz,residual_norm,eigvals_K,eigvals_R
0.7853981633974483,0.7853981633974483,0.7853981633974483,4.1540741810552233e-16,"[np.float64(-2.356194490192), np.float64(0.785398163397), np.float64(0.785398163397), np.float64(0.785398163397)]","[(0.707106781187+0.707106781187j), (-0.707106781187-0.707106781187j), (0.707106781187+0.707106781187j), (0.707106781187+0.707106781187j)]"
1.5707963267948966,0.0,0.0,1.0674587249590383e-32,"[np.float64(-1.570796326795), np.float64(-1.570796326795), np.float64(1.570796326795), np.float64(1.570796326795)]","[-1j, 1j, -1j, 1j]"
0.0,0.0,0.0,0.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[(1+0j), (1+0j), (1+0j), (1+0j)]"
