candidate_idx,tc,cross_comp_2,steps,zeeman,score,target_residual,braid_res,ybe_res,best_axis
1,1.0,0.008333333333333331,80,0.0,1.2971178800228464,1.0234610909864288,0.24757535847641926,0.026081430559998287,z
1,1.0,0.008333333333333331,80,0.01,1.4583387181327563,1.0338230962592,0.3791089721479179,0.04540664972563823,x
1,1.0,0.008333333333333331,80,-0.01,1.5683403578179242,1.0367181314630836,0.4582782702779609,0.07334395607687982,z
1,1.0,0.008333333333333331,300,0.0,1.2985321954347788,1.0229623365172744,0.24910173471196223,0.026468124205542322,z
1,1.0,0.008333333333333331,300,0.01,1.460915024726346,1.033428485087675,0.38151530975878534,0.04597122987988586,x
1,1.0,0.008333333333333331,300,-0.01,1.5671455180900653,1.036136693350498,0.45799448665452686,0.07301433808504032,z
2,1.0,0.0,80,0.0,1.3479727095884098,1.1106031319151912,0.21694928689455936,0.020420290778659356,z
2,1.0,0.0,80,0.01,1.471911684274884,1.116903208571556,0.32067457269652333,0.03433390300680493,y
2,1.0,0.0,80,-0.01,1.6660898470568068,1.124655719359893,0.461421290390274,0.08001283730663995,z
2,1.0,0.0,300,0.0,1.347823646113772,1.110096357258998,0.2171150434695851,0.020612245385189045,z
2,1.0,0.0,300,0.01,1.4735759539256996,1.116480853738549,0.3223609083630416,0.03473419182410894,y
2,1.0,0.0,300,-0.01,1.6641629957244153,1.1240837242828965,0.4605164858347028,0.07956278560681597,z
3,1.0,0.016666666666666663,80,0.0,1.4131789783203381,0.9348024724083561,0.42958669397204563,0.04878981193993628,z
3,1.0,0.016666666666666663,80,0.01,1.5585588102941448,0.9501346825476665,0.5389390286002188,0.06948509914625949,z
3,1.0,0.016666666666666663,80,-0.01,1.5839742753693833,0.9469591215691603,0.55929549885086,0.07771965494936277,z
3,1.0,0.016666666666666663,300,0.0,1.4149033903392367,0.9343159678357803,0.4312498219328985,0.04933760057055789,z
3,1.0,0.016666666666666663,300,0.01,1.5612740841189614,0.9497759266428,0.5412745774672987,0.0702235800088629,z
3,1.0,0.016666666666666663,300,-0.01,1.5836674203360248,0.9463687230750529,0.5595942011968332,0.07770449606413866,z
