candidate_idx,tc,cross_comp_2,steps,zeeman,score,target_residual,braid_res,ybe_res,best_axis
2,1.0,0.0,80,0.0,1.3479727095884098,1.1106031319151912,0.21694928689455936,0.020420290778659356,z
2,1.0,0.0,80,0.01,1.471911684274884,1.116903208571556,0.32067457269652333,0.03433390300680493,y
2,1.0,0.0,80,-0.01,1.6660898470568068,1.124655719359893,0.461421290390274,0.08001283730663995,z
2,1.0,0.0,300,0.0,1.347823646113772,1.110096357258998,0.2171150434695851,0.020612245385189045,z
2,1.0,0.0,300,0.01,1.4735759539256996,1.116480853738549,0.3223609083630416,0.03473419182410894,y
2,1.0,0.0,300,-0.01,1.6641629957244153,1.1240837242828965,0.4605164858347028,0.07956278560681597,z
