tc,cross_comp_2,score,target_residual,braid_res,ybe_res,best_axis
0.9,-0.1,5.809492995403689,0.33864703257059486,4.186038260228388,1.284807702604706,z
0.9,-0.09166666666666667,5.856069949933555,0.3744276879847053,4.2044990186001465,1.2771432433487029,z
0.9,-0.08333333333333334,5.906314950256913,0.4134977689544509,4.218196676255988,1.274620505046474,z
0.9,-0.07500000000000001,5.959745491205331,0.45516756864856295,4.226062860162822,1.2785150623939465,z
0.9,-0.06666666666666668,6.015938884066018,0.4989096233718496,4.227000531634314,1.2900287290598544,z
0.9,-0.05833333333333334,6.074430330542961,0.5443174836818468,4.219912208774826,1.3102006380862892,z
0.9,-0.05,6.134627904005713,0.5910718636272445,4.203732326272561,1.3398237141059064,z
0.9,-0.04166666666666667,6.195760547330311,0.638915274907953,4.177462969058685,1.3793823033636723,z
0.9,-0.03333333333333334,6.2568687207154685,0.6876337576709443,4.1402119622084115,1.4290230008361129,z
0.9,-0.02500000000000001,6.316838476968542,0.7370439288804654,4.0912320668835775,1.4885624812044986,z
0.9,-0.016666666666666677,6.374470611082925,0.7869838364622653,4.029959834862318,1.5575269397583429,z
0.9,-0.008333333333333345,6.428570509498508,0.8373064885340101,3.9560525251815237,1.635211495782974,z
0.9,0.0,6.478043100088004,0.8878752555029642,3.8694213968842015,1.7207464477008383,z
0.9,0.008333333333333331,6.521980019440651,0.9385605882474741,3.7702596703721403,1.8131597608210375,z
0.9,0.016666666666666663,6.559730544853767,0.9892376686214993,3.6590635010800745,1.9114293751521931,z
0.9,0.024999999999999994,6.5909519949656685,1.0397847274805097,3.536644432574162,2.0145228349109967,z
0.9,0.033333333333333326,6.6156382174986845,1.0900818464738107,3.404131984808831,2.1214243862160433,z
0.9,0.04166666666666666,6.634126401554345,1.1400101150286488,3.2629652731630507,2.231151013362645,z
0.9,0.04999999999999999,6.6470831674889785,1.1894510516731922,3.1148728246832444,2.342759291132542,z
0.9,0.05833333333333332,6.655471147463871,1.2382862248049735,2.9618400364618624,2.455344886197035,z
