steps,zeeman,tc,cross_comp_2,score,target_residual,braid_res,ybe_res,best_axis
80,0.0,1.0,0.00833333,1.2971178523428728,1.02346112615832,0.24757530314864257,0.02608142303591031,z
80,0.01,1.0,0.00833333,1.458338694052666,1.0338231296396228,0.3791089225921978,0.04540664182084541,x
80,-0.01,1.0,0.00833333,1.5683403722645963,1.036718167008861,0.45827824868414746,0.07334395657158789,z
300,0.0,1.0,0.00833333,1.2985321674787964,1.0229623716851781,0.24910167917495715,0.026468116618661063,z
300,0.01,1.0,0.00833333,1.4609150005010962,1.0334285184555108,0.38151526013651926,0.04597122190906617,x
300,-0.01,1.0,0.00833333,1.5671455321780745,1.0361367288999568,0.45799446479152933,0.07301433848658834,z
