cross_comp_2,zeeman,score,target_residual,braid_res,ybe_res,best_axis
-0.02,-0.02,2.6077123325293887,1.355585761646493,0.9766941288704452,0.2754324420124504,z
-0.02,-0.018333333333333333,2.5383922759326896,1.349982274403669,0.9441798246853571,0.2442301768436635,y
-0.02,-0.016666666666666666,2.471939813987557,1.344718511380519,0.9119601084627826,0.21526119414425518,y
-0.02,-0.015,2.4086864212608012,1.3398013656621082,0.8802363844251881,0.1886486711735051,y
-0.02,-0.013333333333333332,2.3490044934263383,1.3352374882665505,0.8492325266859045,0.16453447847388344,y
-0.02,-0.011666666666666667,2.2933109421430338,1.331033265461321,0.8191965759292541,0.1430811007524583,y
-0.02,-0.01,2.2420640539024004,1.3271947962482058,0.7904018182114688,0.12446743944272605,y
-0.02,-0.008333333333333333,2.1957448586925437,1.3237278701923119,0.7631467735110898,0.10887021498914212,y
-0.02,-0.006666666666666666,2.1548109574320367,1.3206379457761201,0.737753470001496,0.09641954165442031,y
-0.02,-0.004999999999999999,2.119616736229809,1.3179301294633592,0.7145632543789451,0.08712335238750453,y
-0.02,-0.003333333333333334,2.090320594343148,1.3156091556578136,0.6939293563320342,0.08078208235330041,y
-0.02,-0.001666666666666667,2.06683623947829,1.3136793677407206,0.6762055831942595,0.07695128854330993,y
-0.02,0.0,2.0488791093926557,1.312144700364717,0.6617309721788227,0.07500343684911609,y
-0.02,0.001666666666666667,2.036087896162265,1.3110086631748945,0.6508110246247271,0.07426820836264345,y
-0.02,0.003333333333333334,2.0281447521298848,1.310274326116122,0.6436972059848808,0.074173220028882,y
-0.02,0.005000000000000001,2.0248426829060455,1.3099443064719838,0.6405674328144944,0.07433094361956757,y
-0.02,0.006666666666666668,2.0261049953425165,1.3100207577642158,0.641510836621865,0.07457340095643572,y
-0.02,0.008333333333333335,2.0319852774504015,1.3105053606223853,0.6465197789194761,0.07496013790853998,y
-0.02,0.010000000000000002,2.042665429194462,1.3113993157122799,0.6554907909996227,0.07577532248255964,y
-0.02,0.011666666666666669,2.0584460650482246,1.312703338788958,0.6682341995501783,0.07750852670908834,y
-0.02,0.013333333333333332,2.079704919695356,1.3144176579159517,0.6844903815783728,0.08079688020103155,y
-0.02,0.015000000000000003,2.106803297663027,1.316542012867397,0.7039495210212392,0.08631176377439083,y
-0.02,0.016666666666666666,2.139961950492456,1.319075656704812,0.726271667077885,0.0946146267097588,y
-0.02,0.018333333333333337,2.1791739903860328,1.3220173594950961,0.751104616373693,0.10605201451724386,y
-0.02,0.02,2.2242068455238386,1.325365414112598,0.7780982109598246,0.12074322045141607,y
-0.018333333333333333,-0.02,2.5619241240498436,1.3394578592389572,0.9498974843798925,0.2725687804309939,z
-0.018333333333333333,-0.018333333333333333,2.490832195232144,1.3337704570981677,0.9159887237130511,0.24107301442092524,z
-0.018333333333333333,-0.016666666666666666,2.422579864391049,1.3284326142716198,0.8823289490739086,0.2118183010455209,y
-0.018333333333333333,-0.015,2.3575033948603448,1.323451537224765,0.8491270883706316,0.1849247692649483,y
-0.018333333333333333,-0.013333333333333332,2.2959839159297144,1.3188341733139712,0.8166179032861004,0.16053183932964288,y
-0.018333333333333333,-0.011666666666666667,2.2384534875584126,1.3145871860308176,0.7850646524734063,0.13880164905418865,y
-0.018333333333333333,-0.01,2.185395592887681,1.3107169304491466,0.7547612467901409,0.11991741564839352,y
-0.018333333333333333,-0.008333333333333333,2.1373308813604353,1.3072294290749131,0.7260333192038941,0.10406813308162771,y
-0.018333333333333333,-0.006666666666666666,2.094773695111906,1.304130348305193,0.6992373861144534,0.09140596069225952,y
-0.018333333333333333,-0.004999999999999999,2.0581480953259965,1.3014249757066867,0.6747570311932848,0.08196608842602528,y
-0.018333333333333333,-0.003333333333333334,2.0276801891319445,1.2991181983242226,0.6529948928006943,0.07556709800702775,y
-0.018333333333333333,-0.001666666666666667,2.0033312631958666,1.2972144822274096,0.6343593417755784,0.07175743919287841,y
-0.018333333333333333,0.0,1.9848396905915018,1.2957178534966745,0.6192452991388342,0.06987653795599313,y
-0.018333333333333333,0.001666666666666667,1.9718551177381665,1.294631880840461,0.6080098112028209,0.0692134256948845,y
-0.018333333333333333,0.003333333333333334,1.9640724794476656,1.2939596600216166,0.6009446968609614,0.06916812256508761,y
-0.018333333333333333,0.005000000000000001,1.9613027630199875,1.2937038002542973,0.5982503433212075,0.06934861944448258,y
-0.018333333333333333,0.006666666666666668,1.96348913180123,1.2938664127127057,0.6000157280833437,0.06960699100518049,y
-0.018333333333333333,0.008333333333333335,1.970704495394358,1.2944491012702952,0.606209188280395,0.07004620584366772,y
-0.018333333333333333,0.010000000000000002,1.9831494736287456,1.295452955562682,0.6166821747695598,0.07101434329650413,y
-0.018333333333333333,0.011666666666666669,2.0011388121446725,1.2968785464409114,0.6311850045289938,0.0730752611747674,y
-0.018333333333333333,0.013333333333333332,2.025043618645738,1.2987259238529179,0.6493908320340079,0.07692686275881214,y
-0.018333333333333333,0.015000000000000003,2.0551732871474853,1.3009946171622455,0.6709227937893972,0.08325587619584247,y
-0.018333333333333333,0.016666666666666666,2.0916423958157897,1.3036836378839014,0.6953797363958737,0.09257902153601459,y
-0.018333333333333333,0.018333333333333337,2.134308730750935,1.3067914847885451,0.7223574966747947,0.10515974928759549,y
-0.018333333333333333,0.02,2.1828164476701786,1.3103161512987753,0.7514644885313178,0.12103580784008543,y
-0.016666666666666666,-0.02,2.5170992676609187,1.3232519454122276,0.9241104304463024,0.2697368918023887,z
-0.016666666666666666,-0.018333333333333333,2.4442300945316426,1.3174790426907257,0.8887903629935755,0.23796068884734148,z
-0.016666666666666666,-0.016666666666666666,2.3741623369345026,1.3120657873069639,0.8536636654426022,0.20843288418493636,z
-0.016666666666666666,-0.015,2.3072348744099047,1.3070197147581997,0.8189452739676313,0.1812698856840742,y
-0.016666666666666666,-0.013333333333333332,2.2438351522134576,1.3023480833792203,0.78487946858972,0.15660760024451734,y
-0.016666666666666666,-0.011666666666666667,2.1844078838252026,1.2980578473263682,0.7517437526606155,0.13460628383821904,y
-0.016666666666666666,-0.01,2.1294596747603936,1.2941556298018684,0.7198524531691932,0.11545159178933183,y
-0.016666666666666666,-0.008333333333333333,2.0795503192068803,1.290647696746645,0.6895593710515812,0.09934325140865405,y
-0.016666666666666666,-0.006666666666666666,2.0352541152281174,1.2875399312366635,0.6612584338818366,0.08645575010961716,y
-0.016666666666666666,-0.004999999999999999,1.9970737965273093,1.2848378088223964,0.6353808672090282,0.07685512049588475,y
-0.016666666666666666,-0.003333333333333334,1.9653173413263145,1.2825463740505045,0.6123870279915309,0.07038393928427922,y
-0.016666666666666666,-0.001666666666666667,1.9400084241731397,1.2806702184038954,0.5927509859122351,0.06658721985700926,y
-0.016666666666666666,0.0,1.9209199225898574,1.2792134598872975,0.5769365721075033,0.06476989059505675,y
-0.016666666666666666,0.001666666666666667,1.9077213607999146,1.2781797244742514,0.5653653006114081,0.06417633571425506,y
-0.016666666666666666,0.003333333333333334,1.9001282138279942,1.2775721296142768,0.5583793143357039,0.06417676987801353,y
-0.016666666666666666,0.005000000000000001,1.897974984226453,1.2773932699791049,0.5562055653567435,0.06437614889060463,y
-0.016666666666666666,0.006666666666666668,1.9012261861932076,1.2776452056027512,0.5589292555934252,0.06465172499703116,y
-0.016666666666666666,0.008333333333333335,1.9099713400382539,1.278329452543084,0.5664835531177055,0.06515833437746453,y
-0.016666666666666666,0.010000000000000002,1.9244236475706409,1.2794469761625542,0.5786584806712204,0.06631819073686633,y
-0.016666666666666666,0.011666666666666669,1.9449007257677422,1.280998187094121,0.5951263494415724,0.06877618923204888,y
-0.016666666666666666,0.013333333333333332,1.9717452617584095,1.2829829399250108,0.6154768852775585,0.07328543655584016,y
-0.016666666666666666,0.015000000000000003,2.005181054794538,1.2854005345969726,0.6392540360921317,0.0805264841054338,y
-0.016666666666666666,0.016666666666666666,2.045183198201336,1.2882497204883114,0.6659881538543091,0.09094532385871543,y
-0.016666666666666666,0.018333333333333337,2.0914579731564085,1.2915287031098543,0.6952202605226044,0.10470900952394965,y
-0.016666666666666666,0.02,2.1435301393489516,1.295235153315898,0.7265178685496503,0.1217771174834039,y
-0.015,-0.02,2.473354275448855,1.3069687982294145,0.899445089277753,0.26694038794168734,z
-0.015,-0.018333333333333333,2.3987127405885307,1.3011087478687062,0.8627060806901437,0.2348979120296807,z
-0.015,-0.016666666666666666,2.3268241958452287,1.295618694741676,0.82609448630915,0.20511101479440302,z
-0.015,-0.015,2.258027538738044,1.2905065200554804,0.7898292579206416,0.17769176076192209,z
-0.015,-0.013333333333333332,2.1927135039429873,1.2857798087237924,0.754162201771015,0.15277149344817978,y
-0.015,-0.011666666666666667,2.1313361098123997,1.2814458198830159,0.7193833333056613,0.13050695662372266,y
-0.015,-0.01,2.074421849392125,1.2775114576902793,0.6858263464902701,0.11108404521157562,y
-0.015,-0.008333333333333333,2.0225677563769975,1.273983242663154,0.6538734753681775,0.09471103834566608,y
-0.015,-0.006666666666666666,1.9764100151693527,1.2708672838290083,0.6239584803698572,0.08158425097048724,y
-0.015,-0.004999999999999999,1.9365389614208142,1.2681692519565804,0.5965657714876396,0.0718039379765943,y
-0.015,-0.003333333333333334,1.9033608177565753,1.2658943541417729,0.5722229159744142,0.06524354764038807,y
-0.015,-0.001666666666666667,1.876980406926395,1.2640473100150345,0.5514833370194752,0.06144975989188539,y
-0.015,0.0,1.8572207369398421,1.2626323298272377,0.5348965638488211,0.05969184326378337,y
-0.015,0.001666666666666667,1.8437837227116667,1.2616530946564812,0.5229657518390184,0.059164876216167124,y
-0.015,0.003333333333333334,1.8364160816117352,1.261112738958085,0.5160966658725081,0.05920667678114221,y
-0.015,0.005000000000000001,1.8349826441482735,1.2610138356555523,0.5145477514184499,0.0594210570742714,y
-0.015,0.006666666666666668,1.8394695476479075,1.2613583839418523,0.5183943145767489,0.059716849129306214,y
-0.015,0.008333333333333335,1.8499768618156929,1.2621477999277537,0.52751793446269,0.060311127425249134,y
-0.015,0.010000000000000002,1.8667194754229208,1.26338291023864,0.5416245852695446,0.06171197991473623,y
-0.015,0.011666666666666669,1.8899997467757592,1.2650639486238482,0.5602853465319797,0.06465045161993134,y
-0.015,0.013333333333333332,1.9201003967037733,1.267190555603538,0.5829874175498532,0.0699224235503821,y
-0.015,0.015000000000000003,1.957117880364591,1.2697617811386048,0.6091830365604762,0.07817306266551001,y
-0.015,0.016666666666666666,2.000855645269225,1.2727760902705891,0.6383282502741312,0.08975130472450492,y
-0.015,0.018333333333333337,2.0508615621387345,1.276231371640646,0.6699088280976815,0.10472136240040698,y
-0.015,0.02,2.1065540259249564,1.2801249487616002,0.7034544772997107,0.12297459986364563,y
-0.013333333333333332,-0.02,2.4308138361793925,1.2906092213232874,0.8760216179059706,0.26418299695013425,z
-0.013333333333333332,-0.018333333333333333,2.3544174349056206,1.284660311266184,0.8378675575350504,0.2318895661043861,z
