E1,K_fro,norm_pauli,norm_fro,scale,opdiff,N_pauli,N_fro_scaled
0.001,2180.0,1541.4927829866735,4360.0,0.35355339059327373,2569.4729692261812,0.9449699506963609,2.242980485058002
0.011473684210526316,267.68580791949347,266.6748713430428,535.3716158389869,0.4981117105454565,444.51318945535525,4.9725963151252956e-05,3.785689293500793
0.021947368421052632,140.32617874756596,140.18074398397033,280.6523574951319,0.49948179746326143,233.663521781108,0.025352441832786433,3.99338366680558
0.03242105263157895,95.04688601489804,95.00170625367495,190.09377202979607,0.4997623290824278,158.35579572174618,1.1412542154485636,1.2674256491641527
0.04289473684210526,71.8537598662756,71.83424190262402,143.7075197325512,0.4998641827255254,119.73857086507216,0.23671463826071237,0.0096149123134506
0.05336842105263158,57.757835606864454,57.747698877206126,115.51567121372891,0.49991224801317585,96.25809016925966,1.0445287621831216,3.9987653103275367
0.0638421052631579,48.284864949159754,48.27894269939985,96.56972989831951,0.49993867384980634,80.4748744970284,1.138505758864564,2.0852136574819333
0.07431578947368421,41.481177999883755,41.47742308651397,82.96235599976751,0.4999547395523604,69.13760390591267,1.5537122615527084,1.0161477130204428
0.08478947368421053,36.357946784878095,36.355418417540434,72.71589356975619,0.49996522950879735,60.599871721608565,0.04204998475833414,0.8716671405866251
0.09526315789473684,32.361048992821914,32.35926617585969,64.72209798564383,0.4999724542773224,53.93879274722841,1.2258894521570884,1.4186698617614077
0.10573684210526316,29.155851809016838,29.154548000136913,58.311703618033675,0.4999776406999105,48.596933987077016,0.36023811355310725,2.906376420613917
0.11621052631578947,26.528332042822324,26.527349922053858,53.05666408564465,0.4999814892099722,44.217727985633324,0.6813029840916889,1.888329549827181
0.1266842105263158,24.335230948214967,24.334472824289065,48.670461896429934,0.49998442332584564,40.5624799755682,0.46882366528871167,0.8566202145934442
0.1371578947368421,22.47704103665539,22.476443657302447,44.95408207331078,0.49998671134354455,37.46538099898011,0.13706077613374662,1.152083514748882
0.14763157894736842,20.88248912433516,20.882010076596334,41.76497824867032,0.49998852991767473,34.80766243417883,0.636815088606414,0.052254681568449916
0.15810526315789475,19.499185794402184,19.498795779863226,38.99837158880437,0.4999899992096319,32.50201962784877,0.69136508458051,0.8184961526996356
0.16857894736842105,18.28775997026702,18.287438224841782,36.57551994053404,0.49999120325764984,30.482840214199566,0.2257036441090419,0.35811313592567406
0.17905263157894735,17.218051799531924,17.21778327594608,34.43610359906385,0.4999922022657101,28.699861073511443,0.19006877998767022,1.0790995473698963
0.18952631578947368,16.26656773063746,16.266341309054887,32.53313546127492,0.4999930402778779,27.113927981448796,0.29852566746361636,2.7046534034323324
0.2,15.414735146881661,15.414542466305079,30.829470293763322,0.4999937501171851,25.694087340078312,0.16229815673620013,3.737216447821789
