cxy,cyx,min_abs,site,max_weight,maj_sim
0.0,0.0,0.0,0,1.0,1.000088900582341e-12
0.0,0.0125,0.0002762958778046952,199,0.009949641079307974,0.13613922654438604
0.0,0.025,0.0005525917556093904,199,0.009949641079307974,0.13613922654438604
0.0,0.037500000000000006,0.0008288876334140854,199,0.009949641079307962,0.13068119926663857
0.0,0.05,0.0011051835112187809,199,0.009949641079307974,0.13613922654438604
0.0,0.0625,0.0013814793890234523,199,0.009949641079308359,0.2652340495016614
0.0,0.07500000000000001,0.0016577752668281709,199,0.009949641079307962,0.13068119926663857
0.0,0.08750000000000001,0.0019340711446329151,199,0.009949641079307306,0.10356889094089672
0.0,0.1,0.0022103670224375618,199,0.009949641079307974,0.13613922654438604
0.0,0.1125,0.002486662900242255,199,0.009949641079306902,0.12316329382527469
0.0,0.125,0.0027629587780469045,199,0.009949641079308359,0.2652340495016614
0.0,0.1375,0.003039254655851642,199,0.009949641079306846,0.10342452783259881
0.0,0.15000000000000002,0.0033155505336563418,199,0.009949641079307962,0.13068119926663857
0.0,0.1625,0.003591846411460986,199,0.009949641079307996,0.32659469864093527
0.0,0.17500000000000002,0.0038681422892658302,199,0.009949641079307306,0.10356889094089672
0.0,0.1875,0.004144438167070385,199,0.009949641079307733,0.3376834574721893
0.0,0.2,0.0044207340448751235,199,0.009949641079307974,0.13613922654438604
0.0,0.21250000000000002,0.004697029922679839,199,0.00994964107930682,0.31498568947991024
0.0,0.225,0.00497332580048451,199,0.009949641079306902,0.12316329382527469
0.0,0.23750000000000002,0.005249621678289287,0,0.00994964107930737,0.3308357881118422
0.0,0.25,0.005525917556093809,199,0.009949641079308359,0.2652340495016614
0.0125,0.0,0.0002762958778046952,199,0.009949641079307974,0.4197440287231693
0.0125,0.0125,0.00039074137761919286,199,0.009949641079306869,0.2928932188139526
0.0125,0.025,0.0006178163646742701,199,0.009949641079307667,0.3383321067602414
0.0125,0.037500000000000006,0.000873724281978433,0,0.009949641079306794,0.15908169181869825
0.0125,0.05,0.0011391970881115265,199,0.009949641079306815,0.143452511922186
0.0125,0.0625,0.0014088380724513795,0,0.009949641079307207,0.3646282225794696
0.0125,0.07500000000000001,0.0016806422127862695,199,0.009949641079307743,0.2508473292485479
0.0125,0.08750000000000001,0.0019537068880959335,199,0.009949641079306827,0.12391094064399089
0.0125,0.1,0.0022275685816538493,199,0.009949641079307774,0.48264740416842733
0.0125,0.1125,0.002501965585601229,199,0.009949641079307944,0.48357326120134203
0.0125,0.125,0.0027767392065655705,199,0.009949641079307767,0.15124721214193004
0.0125,0.1375,0.0030517877179135344,0,0.009949641079306784,0.11672943990313989
0.0125,0.15000000000000002,0.0033270429443156583,199,0.009949641079307741,0.4191613579995839
0.0125,0.1625,0.003602457502263939,199,0.009949641079307653,0.48417095336102056
0.0125,0.17500000000000002,0.0038779974448286806,199,0.009949641079306865,0.1609632072128543
0.0125,0.1875,0.004153637819160739,199,0.00994964107930745,0.20298701348856896
0.0125,0.2,0.004429359875603879,199,0.00994964107930777,0.2820425424982612
0.0125,0.21250000000000002,0.004705149254449009,199,0.009949641079306761,0.1436189255749547
0.0125,0.225,0.00498099477312071,199,0.009949641079308099,0.15450021072067677
0.0125,0.23750000000000002,0.005256887594124208,0,0.00994964107930678,0.12937971608859222
0.0125,0.25,0.005532820641304025,0,0.009949641079306642,0.4250246322900699
0.025,0.0,0.0005525917556093904,199,0.009949641079307974,0.4197440287231693
0.025,0.0125,0.0006178163646742701,199,0.009949641079307667,0.24852932343953227
0.025,0.025,0.0007814827552383857,199,0.009949641079306869,0.2928932188139526
0.025,0.037500000000000006,0.000996198954624189,199,0.009949641079306803,0.22774713955129133
0.025,0.05,0.0012356327293485403,199,0.009949641079307667,0.3383321067602414
0.025,0.0625,0.0014878988375101598,199,0.009949641079308104,0.17262357445040066
0.025,0.07500000000000001,0.001747448563956866,0,0.009949641079306794,0.15908169181869825
0.025,0.08750000000000001,0.0020114643523734058,199,0.009949641079307731,0.2960695892222365
0.025,0.1,0.002278394176223053,199,0.009949641079306815,0.143452511922186
0.025,0.1125,0.002547322128787121,0,0.009949641079307254,0.282053006398044
0.025,0.125,0.002817676144902759,0,0.009949641079307207,0.3646282225794696
0.025,0.1375,0.0030890818233714427,199,0.009949641079306938,0.28469553061562414
0.025,0.15000000000000002,0.003361284425572539,199,0.009949641079307743,0.2508473292485479
0.025,0.1625,0.0036341048817958186,199,0.009949641079308024,0.2837607711513539
0.025,0.17500000000000002,0.003907413776191867,199,0.009949641079306827,0.12391094064399089
0.025,0.1875,0.004181115325967203,199,0.00994964107930686,0.2887328986550223
0.025,0.2,0.004455137163307699,199,0.009949641079307774,0.48264740416842733
0.025,0.21250000000000002,0.004729423616352885,0,0.009949641079306808,0.20813439937833622
0.025,0.225,0.005003931171202458,199,0.009949641079307944,0.48357326120134203
0.025,0.23750000000000002,0.005278625333695386,199,0.009949641079308673,0.4152586343054866
0.025,0.25,0.005553478413131141,199,0.009949641079307767,0.15124721214193004
0.037500000000000006,0.0,0.0008288876334140854,199,0.009949641079307962,0.4377886585860953
0.037500000000000006,0.0125,0.000873724281978433,0,0.009949641079306794,0.4494897427835709
0.037500000000000006,0.025,0.000996198954624189,199,0.009949641079306803,0.36439350553736183
0.037500000000000006,0.037500000000000006,0.0011722241328575855,0,0.009949641079306749,0.29289321881395247
0.037500000000000006,0.05,0.0013814793890234629,199,0.009949641079307119,0.24498495674307608
0.037500000000000006,0.0625,0.0016110679722232616,0,0.00994964107930686,0.21501088892548537
0.037500000000000006,0.07500000000000001,0.0018534490940228798,199,0.009949641079307667,0.23667565196344198
0.037500000000000006,0.08750000000000001,0.002104206715446107,0,0.009949641079306737,0.42163908661638727
0.037500000000000006,0.1,0.0023606730147790944,199,0.009949641079307972,0.1806069338237124
