file,L,frob,fid_like,fid_phase_invariant,min_gap
baxterize_demo_h0.150_L120.npz,120,1.0867526717250975,0.7047421576245911,0.704742157624591,
baxterize_demo_h0.150_L120_T1200.npz,120,1.0867525847810882,0.7047422048679051,0.7047422048679051,
baxterize_demo_h0.150_L120_T2400.npz,120,1.086752582918026,0.7047422058802506,0.7047422058802506,
baxterize_demo_h0.150_L120_T300.npz,120,1.086752622042551,0.7047421846209072,0.7047421846209073,
baxterize_demo_h0.150_L120_T600.npz,120,1.0867525922333487,0.7047422008185203,0.7047422008185203,
baxterize_demo_h0.150_L120_compensated.npz,120,1.0827352139511945,0.7069211141175147,0.7069211141175147,
baxterize_demo_h0.150_L160.npz,160,1.0848571785641326,0.7057712255294628,0.7057712255294629,
baxterize_demo_h0.150_L160_compensated.npz,160,1.0824464332187755,0.7070774298029863,0.7070774298029863,
baxterize_demo_h0.150_L40.npz,40,1.1197102227588467,0.6865622542623335,0.6865622542623335,
baxterize_demo_h0.150_L40_T1200.npz,40,1.1197094927623172,0.6865626629544872,0.6865626629544872,
baxterize_demo_h0.150_L80.npz,80,1.0920970390322668,0.7018310143342392,0.7018310143342393,
braid_sim_h0.150_L120.npz,120,2.5184118659980372,-0.5872937640459374,0.5872937671982033,
braid_sim_record_h0.150_L120.npz,120,1.8732283751799748,-0.07998840854305121,0.07998842027280174,0.021751506734881687
braid_sim_record_h0.150_L160.npz,160,1.0848571768068238,0.7057712264826812,0.7057712264826812,9.915877584992715e-09
variational_compile_h0.150_L120.npz,120,,,,
