combo,values,min_abs_E
Y_Y+X_Z,0.05,4.150180e-03
Y_Y+X_Z,0.1,1.230824e-04
Y_Y+X_Z,0.15,5.460443e-06
Y_Y+X_Z,0.2,7.568225e-07
Y_Y+X_Z,0.25,3.036362e-08
Y_Y+X_Z,0.3,5.176584e-09
Y_Y+Y_Z,0,5.663742e-03
Y_Y+Y_Z,0.05,4.150180e-03
Y_Y+Y_Z,0.1,1.230824e-04
Y_Y+Y_Z,0.15,5.460443e-06
Y_Y+Y_Z,0.2,7.568225e-07
Y_Y+Y_Z,0.25,3.036362e-08
Y_Y+Y_Z,0.3,5.176584e-09
Y_Y+Z_X,0,5.663742e-03
Y_Y+Z_X,0.05,4.150180e-03
Y_Y+Z_X,0.1,1.230824e-04
Y_Y+Z_X,0.15,5.460443e-06
Y_Y+Z_X,0.2,7.568225e-07
Y_Y+Z_X,0.25,3.036362e-08
Y_Y+Z_X,0.3,5.176584e-09
Y_Y+Z_Y,0,5.663742e-03
Y_Y+Z_Y,0.05,4.150180e-03
Y_Y+Z_Y,0.1,1.230824e-04
Y_Y+Z_Y,0.15,5.460443e-06
Y_Y+Z_Y,0.2,7.568225e-07
Y_Y+Z_Y,0.25,3.036362e-08
Y_Y+Z_Y,0.3,5.176584e-09
Z_Z+X_Y,0,5.663742e-03
Z_Z+X_Y,0.05,7.712913e-02
Z_Z+X_Y,0.1,1.746275e-01
Z_Z+X_Y,0.15,2.931847e-01
Z_Z+X_Y,0.2,4.394778e-01
Z_Z+X_Y,0.25,6.293767e-01
Z_Z+X_Y,0.3,8.361133e-01
Z_Z+Y_X,0,5.663742e-03
Z_Z+Y_X,0.05,7.712913e-02
Z_Z+Y_X,0.1,1.746275e-01
Z_Z+Y_X,0.15,2.931847e-01
Z_Z+Y_X,0.2,4.394778e-01
Z_Z+Y_X,0.25,6.293767e-01
Z_Z+Y_X,0.3,8.361133e-01
Z_Z+X_Z,0,5.663742e-03
Z_Z+X_Z,0.05,3.643471e-03
Z_Z+X_Z,0.1,1.276008e-02
Z_Z+X_Z,0.15,4.121886e-04
Z_Z+X_Z,0.2,1.825213e-01
Z_Z+X_Z,0.25,3.825213e-01
Z_Z+X_Z,0.3,5.825213e-01
Z_Z+Y_Z,0,5.663742e-03
Z_Z+Y_Z,0.05,3.643471e-03
Z_Z+Y_Z,0.1,1.276008e-02
Z_Z+Y_Z,0.15,4.121886e-04
Z_Z+Y_Z,0.2,1.825213e-01
Z_Z+Y_Z,0.25,3.825213e-01
Z_Z+Y_Z,0.3,5.825213e-01
Z_Z+Z_X,0,5.663742e-03
Z_Z+Z_X,0.05,3.643471e-03
Z_Z+Z_X,0.1,1.276008e-02
Z_Z+Z_X,0.15,4.121886e-04
Z_Z+Z_X,0.2,1.825213e-01
Z_Z+Z_X,0.25,3.825213e-01
Z_Z+Z_X,0.3,5.825213e-01
Z_Z+Z_Y,0,5.663742e-03
Z_Z+Z_Y,0.05,3.643471e-03
Z_Z+Z_Y,0.1,1.276008e-02
Z_Z+Z_Y,0.15,4.121886e-04
Z_Z+Z_Y,0.2,1.825213e-01
Z_Z+Z_Y,0.25,3.825213e-01
Z_Z+Z_Y,0.3,5.825213e-01
X_Y+Y_X,0,5.663742e-03
X_Y+Y_X,0.05,1.463852e-05
X_Y+Y_X,0.1,3.639659e-07
X_Y+Y_X,0.15,5.480673e-10
X_Y+Y_X,0.2,8.048990e-13
X_Y+Y_X,0.25,6.362494e-16
X_Y+Y_X,0.3,3.461966e-16
X_Y+X_Z,0,5.663742e-03
X_Y+X_Z,0.05,6.681434e-02
X_Y+X_Z,0.1,1.278788e-01
X_Y+X_Z,0.15,1.888125e-01
X_Y+X_Z,0.2,2.481983e-01
X_Y+X_Z,0.25,3.036013e-01
X_Y+X_Z,0.3,3.593262e-01
X_Y+Y_Z,0,5.663742e-03
X_Y+Y_Z,0.05,6.681434e-02
X_Y+Y_Z,0.1,1.278788e-01
X_Y+Y_Z,0.15,1.888125e-01
X_Y+Y_Z,0.2,2.481983e-01
X_Y+Y_Z,0.25,3.036013e-01
X_Y+Y_Z,0.3,3.593262e-01
X_Y+Z_X,0,5.663742e-03
X_Y+Z_X,0.05,6.681434e-02
X_Y+Z_X,0.1,1.278788e-01
X_Y+Z_X,0.15,1.888125e-01
X_Y+Z_X,0.2,2.481983e-01
X_Y+Z_X,0.25,3.036013e-01
X_Y+Z_X,0.3,3.593262e-01
X_Y+Z_Y,0,5.663742e-03
X_Y+Z_Y,0.05,6.681434e-02
X_Y+Z_Y,0.1,1.278788e-01
X_Y+Z_Y,0.15,1.888125e-01
X_Y+Z_Y,0.2,2.481983e-01
X_Y+Z_Y,0.25,3.036013e-01
X_Y+Z_Y,0.3,3.593262e-01
Y_X+X_Z,0,5.663742e-03
Y_X+X_Z,0.05,6.681434e-02
Y_X+X_Z,0.1,1.278788e-01
Y_X+X_Z,0.15,1.888125e-01
Y_X+X_Z,0.2,2.481983e-01
Y_X+X_Z,0.25,3.036013e-01
Y_X+X_Z,0.3,3.593262e-01
Y_X+Y_Z,0,5.663742e-03
Y_X+Y_Z,0.05,6.681434e-02
Y_X+Y_Z,0.1,1.278788e-01
Y_X+Y_Z,0.15,1.888125e-01
Y_X+Y_Z,0.2,2.481983e-01
Y_X+Y_Z,0.25,3.036013e-01
Y_X+Y_Z,0.3,3.593262e-01
Y_X+Z_X,0,5.663742e-03
Y_X+Z_X,0.05,6.681434e-02
Y_X+Z_X,0.1,1.278788e-01
Y_X+Z_X,0.15,1.888125e-01
Y_X+Z_X,0.2,2.481983e-01
Y_X+Z_X,0.25,3.036013e-01
Y_X+Z_X,0.3,3.593262e-01
Y_X+Z_Y,0,5.663742e-03
Y_X+Z_Y,0.05,6.681434e-02
Y_X+Z_Y,0.1,1.278788e-01
Y_X+Z_Y,0.15,1.888125e-01
Y_X+Z_Y,0.2,2.481983e-01
Y_X+Z_Y,0.25,3.036013e-01
Y_X+Z_Y,0.3,3.593262e-01
X_Z+Y_Z,0,5.663742e-03
X_Z+Y_Z,0.05,5.663742e-03
X_Z+Y_Z,0.1,5.663742e-03
X_Z+Y_Z,0.15,5.663742e-03
X_Z+Y_Z,0.2,5.663742e-03
X_Z+Y_Z,0.25,5.663742e-03
X_Z+Y_Z,0.3,5.663742e-03
X_Z+Z_X,0,5.663742e-03
X_Z+Z_X,0.05,5.663742e-03
X_Z+Z_X,0.1,5.663742e-03
X_Z+Z_X,0.15,5.663742e-03
X_Z+Z_X,0.2,5.663742e-03
X_Z+Z_X,0.25,5.663742e-03
X_Z+Z_X,0.3,5.663742e-03
X_Z+Z_Y,0,5.663742e-03
X_Z+Z_Y,0.05,5.663742e-03
X_Z+Z_Y,0.1,5.663742e-03
X_Z+Z_Y,0.15,5.663742e-03
X_Z+Z_Y,0.2,5.663742e-03
X_Z+Z_Y,0.25,5.663742e-03
X_Z+Z_Y,0.3,5.663742e-03
Y_Z+Z_X,0,5.663742e-03
Y_Z+Z_X,0.05,5.663742e-03
Y_Z+Z_X,0.1,5.663742e-03
Y_Z+Z_X,0.15,5.663742e-03
Y_Z+Z_X,0.2,5.663742e-03
Y_Z+Z_X,0.25,5.663742e-03
Y_Z+Z_X,0.3,5.663742e-03
Y_Z+Z_Y,0,5.663742e-03
Y_Z+Z_Y,0.05,5.663742e-03
Y_Z+Z_Y,0.1,5.663742e-03
Y_Z+Z_Y,0.15,5.663742e-03
Y_Z+Z_Y,0.2,5.663742e-03
Y_Z+Z_Y,0.25,5.663742e-03
Y_Z+Z_Y,0.3,5.663742e-03
Z_X+Z_Y,0,5.663742e-03
Z_X+Z_Y,0.05,5.663742e-03
Z_X+Z_Y,0.1,5.663742e-03
Z_X+Z_Y,0.15,5.663742e-03
