mu_site,cxy,cyx,min_abs,site,max_weight,maj_sim
-5.0,0.08,0.08,5.000000625372424,199,0.019899280938186516,0.0002499806846323338
-5.0,0.08,0.08700000000000001,4.99561342725345,29,0.009944780573792444,0.020377236608547955
-5.0,0.08,0.094,4.984164165266689,100,0.009949641073336407,0.03317884580291708
-5.0,0.08,0.101,4.971199740396218,100,0.00994964107750212,0.03453066969195373
-5.0,0.08,0.10800000000000001,4.958280457980731,100,0.00994964107864034,0.03588355457503811
-5.0,0.08,0.115,4.94540667180801,100,0.009949641078225458,0.03723746850225851
-5.0,0.08,0.12200000000000001,4.932578738106885,100,0.009949641078887591,0.03859237904398227
-5.0,0.08,0.129,4.919797015546113,99,0.009949641078802439,0.03994825328810103
-5.0,0.08,0.136,4.907061865232612,100,0.009949641078660774,0.04130505783735472
-5.0,0.08,0.14300000000000002,4.8943736507090705,99,0.009949641078844228,0.04266275880673975
-5.0,0.08,0.15000000000000002,4.8817327379509114,100,0.00994964107886961,0.044021321821008264
-5.0,0.08,0.15700000000000003,4.869139495362558,99,0.00994964107906992,0.045380712012253355
-5.0,0.08,0.16400000000000003,4.856594293773031,99,0.009949641079084541,0.04674089401759318
-5.0,0.08,0.171,4.844097506430828,100,0.009949641079065163,0.0481018319769535
-5.0,0.08,0.17800000000000002,4.831649508998075,99,0.009949641079090372,0.04946348953095059
-5.0,0.08,0.185,4.819250679543936,100,0.009949641079385976,0.05082582981888173
-5.0,0.08,0.192,4.806901398537258,99,0.009949641079120693,0.052188815476829964
-5.0,0.08,0.199,4.794602048838419,100,0.009949641079329797,0.05355240863587529
-5.0,0.08,0.20600000000000002,4.7823530156904,99,0.009949641079312694,0.054916570920434116
-5.0,0.08,0.21300000000000002,4.77015468670901,99,0.009949641079298537,0.05628126344671169
-5.0,0.08,0.22,4.758007451872284,100,0.00994964107925771,0.057646446821290054
-5.0,0.08700000000000001,0.08,4.99561342725345,29,0.009944780573792444,0.020377236608547955
-5.0,0.08700000000000001,0.08700000000000001,5.000000739600598,0,0.019899280686861483,0.00027184506979038847
-5.0,0.08700000000000001,0.094,4.996265550817082,183,0.009949641370456903,0.018555693713392607
-5.0,0.08700000000000001,0.101,4.986193659450567,136,0.009949641493163944,0.035198594377449655
-5.0,0.08700000000000001,0.10800000000000001,4.973316571015868,100,0.009949641075339485,0.03703996132573517
-5.0,0.08700000000000001,0.115,4.960481807759262,100,0.009949641080696044,0.03838763380431787
-5.0,0.08700000000000001,0.12200000000000001,4.947692959670349,100,0.00994964107774837,0.03973626487289461
-5.0,0.08700000000000001,0.129,4.934950383714499,100,0.009949641078957195,0.04108582172953401
-5.0,0.08700000000000001,0.136,4.922254439255206,100,0.009949641078875245,0.04243627109508841
-5.0,0.08700000000000001,0.14300000000000002,4.909605488051219,100,0.009949641078919045,0.04378757921073917
-5.0,0.08700000000000001,0.15000000000000002,4.897003894253009,100,0.009949641078657154,0.045139711835632035
-5.0,0.08700000000000001,0.15700000000000003,4.884450024398547,99,0.009949641078795575,0.046492634244605036
-5.0,0.08700000000000001,0.16400000000000003,4.8719442474084405,100,0.009949641078933522,0.04784631122601113
-5.0,0.08700000000000001,0.171,4.859486934580317,99,0.009949641079019403,0.049200707079637196
-5.0,0.08700000000000001,0.17800000000000002,4.847078459582512,99,0.009949641078993541,0.050555785614729176
-5.0,0.08700000000000001,0.185,4.834719198447014,100,0.009949641079086554,0.05191151014812101
-5.0,0.08700000000000001,0.192,4.822409529561636,100,0.009949641079005362,0.05326784350247482
-5.0,0.08700000000000001,0.199,4.81014983366142,100,0.009949641079100409,0.05462474800463568
-5.0,0.08700000000000001,0.20600000000000002,4.797940493819248,99,0.009949641079147984,0.055982185484103275
-5.0,0.08700000000000001,0.21300000000000002,4.785781895435622,100,0.009949641079074558,0.05734011727162569
-5.0,0.08700000000000001,0.22,4.773674426227621,100,0.009949641079240892,0.05869850419792222
-5.0,0.094,0.08,4.984164165266689,100,0.009949641073336407,0.03317884580291708
-5.0,0.094,0.08700000000000001,4.996265550817082,183,0.009949641370456903,0.018555693713392607
-5.0,0.094,0.094,5.000000863404783,199,0.019899280440478173,0.0002937080189376884
-5.0,0.094,0.101,4.996781554558774,55,0.00994964109029823,0.01743991291216984
-5.0,0.094,0.10800000000000001,4.988034465811404,111,0.00994964108284794,0.03289019032372065
-5.0,0.094,0.115,4.9755900342722565,100,0.00994964107833763,0.03952650692019832
-5.0,0.094,0.12200000000000001,4.962840119045783,99,0.009949641079216478,0.04086889224099455
-5.0,0.094,0.129,4.9501365348606985,99,0.009949641077678425,0.04221216612363066
-5.0,0.094,0.136,4.937479639330819,100,0.009949641078200826,0.04355629541124417
-5.0,0.094,0.14300000000000002,4.924869792425122,100,0.009949641079062516,0.04490124647528004
-5.0,0.094,0.15000000000000002,4.9123073564637565,100,0.009949641078729306,0.04624698521325776
-5.0,0.094,0.15700000000000003,4.899792696113356,100,0.009949641078731076,0.04759347704663652
-5.0,0.094,0.16400000000000003,4.887326178381692,100,0.00994964107866035,0.048940686918769516
-5.0,0.094,0.171,4.874908172611624,99,0.009949641079257132,0.05028857929296182
-5.0,0.094,0.17800000000000002,4.862539050474309,99,0.009949641078942107,0.05163711815062666
-5.0,0.094,0.185,4.850219185961696,99,0.009949641079525716,0.052986266989550335
-5.0,0.094,0.192,4.837948955378268,100,0.00994964107939322,0.05433598882226631
-5.0,0.094,0.199,4.825728737331991,99,0.009949641079216944,0.05568624617454443
-5.0,0.094,0.20600000000000002,4.81355891272448,100,0.009949641079237211,0.057037001083992234
-5.0,0.094,0.21300000000000002,4.801439864740385,99,0.009949641079410983,0.05838821509878678
-5.0,0.094,0.22,4.789371978835891,100,0.009949641079212777,0.059739849276523205
-5.0,0.101,0.08,4.971199740396218,100,0.00994964107750212,0.03453066969195373
-5.0,0.101,0.08700000000000001,4.986193659450567,136,0.009949641493163944,0.035198594377449655
-5.0,0.101,0.094,4.996781554558774,55,0.00994964109029823,0.01743991291216984
-5.0,0.101,0.101,5.000000996784979,0,0.0198992801750836,0.0003155695321053198
-5.0,0.101,0.10800000000000001,4.997198024099718,90,0.009949641080655373,0.016418402104934282
-5.0,0.101,0.115,4.989531031558487,61,0.00994964112332235,0.030656276766557244
-5.0,0.101,0.12200000000000001,4.978019915562866,100,0.009949641116323292,0.04199040664442688
-5.0,0.101,0.129,4.965355168192188,100,0.009949641075968307,0.04332743200164024
-5.0,0.101,0.136,4.952737164572389,100,0.009949641080796122,0.04466527634120787
-5.0,0.101,0.14300000000000002,4.94016626287736,100,0.009949641078570189,0.046003906168728514
-5.0,0.101,0.15000000000000002,4.9276428235920395,100,0.009949641079097453,0.04734328752389105
-5.0,0.101,0.15700000000000003,4.915167209507318,100,0.009949641079673452,0.04868338597846378
-5.0,0.101,0.16400000000000003,4.9027397857142265,99,0.009949641079525477,0.05002416663438325
-5.0,0.101,0.171,4.890360919597427,100,0.00994964107874154,0.05136559412193997
-5.0,0.101,0.17800000000000002,4.878030980827998,100,0.009949641079773712,0.05270763259806699
-5.0,0.101,0.185,4.865750341355496,99,0.009949641079331325,0.054050245744734715
-5.0,0.101,0.192,4.8535193753992445,99,0.00994964107959282,0.05539339676745314
-5.0,0.101,0.199,4.841338459438876,100,0.009949641079116016,0.05673704839389049
-5.0,0.101,0.20600000000000002,4.8292079722040855,100,0.009949641078992613,0.0580811628726049
-5.0,0.101,0.21300000000000002,4.817128294663571,99,0.009949641079109816,0.05942570197190111
-5.0,0.101,0.22,4.805099810013173,100,0.009949641079061163,0.06077062697880886
-5.0,0.10800000000000001,0.08,4.958280457980731,100,0.00994964107864034,0.03588355457503811
-5.0,0.10800000000000001,0.08700000000000001,4.973316571015868,100,0.009949641075339485,0.03703996132573506
-5.0,0.10800000000000001,0.094,4.988034465811404,111,0.00994964108284794,0.03289019032372065
-5.0,0.10800000000000001,0.101,4.997198024099718,90,0.009949641080655373,0.016418402104934504
-5.0,0.10800000000000001,0.10800000000000001,5.000001139741185,199,0.01989927990229107,0.00033742960932492405
-5.0,0.10800000000000001,0.115,4.9975394701160925,8,0.00994478062097896,0.015025235162150596
-5.0,0.10800000000000001,0.12200000000000001,4.990763495487065,187,0.009944780593321254,0.029283814126382368
-5.0,0.10800000000000001,0.129,4.9804867396225525,196,0.00994964124688778,0.041292845675455325
-5.0,0.10800000000000001,0.136,4.96802671715422,100,0.009949641075876153,0.045763357195296006
-5.0,0.10800000000000001,0.14300000000000002,4.955494601540115,100,0.009949641079287946,0.047095701604973006
-5.0,0.10800000000000001,0.15000000000000002,4.9430099977563975,100,0.00994964107848597,0.04842876207379254
-5.0,0.10800000000000001,0.15700000000000003,4.930573266714282,100,0.009949641078631576,0.049762504327341084
-5.0,0.10800000000000001,0.16400000000000003,4.9181847715846105,100,0.009949641078442107,0.0510968936295394
-5.0,0.10800000000000001,0.171,4.905844877790915,100,0.009949641078575227,0.05243189478095234
-5.0,0.10800000000000001,0.17800000000000002,4.89355395300178,100,0.0099496410790422,0.05376747211720512
-5.0,0.10800000000000001,0.185,4.8813123671224625,100,0.009949641079103993,0.05510358950750216
-5.0,0.10800000000000001,0.192,4.869120492285793,99,0.009949641079418004,0.056440210353256526
-5.0,0.10800000000000001,0.199,4.856978702842287,99,0.009949641079385976,0.05777729758683059
-5.0,0.10800000000000001,0.20600000000000002,4.84488737534951,100,0.009949641079048837,0.05911481367039473
-5.0,0.10800000000000001,0.21300000000000002,4.832846888560606,99,0.00994964107928133,0.060452720594905696
-5.0,0.10800000000000001,0.22,4.820857623412062,100,0.009949641079056252,0.06179097987920579
-5.0,0.115,0.08,4.94540667180801,100,0.009949641078225458,0.03723746850225851
-5.0,0.115,0.08700000000000001,4.960481807759262,100,0.009949641080696044,0.03838763380431787
-5.0,0.115,0.094,4.9755900342722565,100,0.00994964107833763,0.03952650692019832
-5.0,0.115,0.101,4.989531031558487,61,0.00994964112332235,0.030656276766557244
-5.0,0.115,0.10800000000000001,4.9975394701160925,8,0.00994478062097896,0.015025235162150596
-5.0,0.115,0.115,5.0000012922734,199,0.019899279598633583,0.0003592882506284756
-5.0,0.115,0.12200000000000001,4.99782081037202,151,0.009949641082158477,0.01460897911268666
-5.0,0.115,0.129,4.99179070772088,195,0.009944780562399174,0.027719518228613294
-5.0,0.115,0.136,4.9825916550236595,118,0.009949641082055108,0.03930356377238975
-5.0,0.115,0.14300000000000002,4.970854513602882,100,0.00994964110437717,0.04817677388233732
-5.0,0.115,0.15000000000000002,4.958408584156073,100,0.009949641078619184,0.04950354994474582
-5.0,0.115,0.15700000000000003,4.946010572971966,99,0.00994964107940299,0.050830973147282243
-5.0,0.115,0.16400000000000003,4.933660841298245,99,0.009949641079229948,0.05215900891907599
-5.0,0.115,0.171,4.921359752594836,100,0.00994964107965032,0.05348762223408088
-5.0,0.115,0.17800000000000002,4.909107672525862,100,0.009949641079474521,0.054816777609611345
-5.0,0.115,0.185,4.896904968950863,100,0.009949641079159015,0.05614643910498274
-5.0,0.115,0.192,4.884752011915282,99,0.009949641079452468,0.05747657032026243
-5.0,0.115,0.199,4.872649173640198,100,0.009949641079004942,0.05880713439513141
-5.0,0.115,0.20600000000000002,4.860596828511289,100,0.00994964107917538,0.060138094007861076
-5.0,0.115,0.21300000000000002,4.848595353066997,100,0.009949641078967102,0.06146941137441053
-5.0,0.115,0.22,4.836645125985898,100,0.009949641079011503,0.06280104824764698
-5.0,0.12200000000000001,0.08,4.932578738106885,100,0.009949641078887591,0.03859237904398227
-5.0,0.12200000000000001,0.08700000000000001,4.947692959670349,100,0.00994964107774837,0.03973626487289461
-5.0,0.12200000000000001,0.094,4.962840119045783,99,0.009949641079216478,0.04086889224099466
-5.0,0.12200000000000001,0.101,4.978019915562866,100,0.009949641116323292,0.04199040664442688
-5.0,0.12200000000000001,0.10800000000000001,4.990763495487065,187,0.009944780593321254,0.029283814126382257
-5.0,0.12200000000000001,0.115,4.99782081037202,151,0.009949641082158477,0.01460897911268666
-5.0,0.12200000000000001,0.12200000000000001,5.000001454381624,0,0.019899279264499404,0.0003811454560470606
-5.0,0.12200000000000001,0.129,4.9980581140515365,177,0.009949641253697177,0.013295552509805297
-5.0,0.12200000000000001,0.136,4.9926550553801325,16,0.009949641087838718,0.0261604840235099
-5.0,0.12200000000000001,0.14300000000000002,4.984374040294738,138,0.009949641081164733,0.03726315821831849
-5.0,0.12200000000000001,0.15000000000000002,4.973716495141325,117,0.009949641093386917,0.04756871257502149
-5.0,0.12200000000000001,0.15700000000000003,4.961478836592453,100,0.009949641082194292,0.05188893129794814
-5.0,0.12200000000000001,0.16400000000000003,4.949167703257188,100,0.009949641077443273,0.05321065131521352
-5.0,0.12200000000000001,0.171,4.93690525253064,100,0.009949641078689377,0.05453291523468329
-5.0,0.12200000000000001,0.17800000000000002,4.924691848070964,100,0.009949641079629727,0.05585568775818939
-5.0,0.12200000000000001,0.185,4.912527855690996,100,0.009949641078710582,0.057178933137867705
-5.0,0.12200000000000001,0.192,4.900413643348357,100,0.009949641079014535,0.0585026151750232
-5.0,0.12200000000000001,0.199,4.888349581134806,100,0.009949641078998967,0.059826697219110825
-5.0,0.12200000000000001,0.20600000000000002,4.8763360412648264,100,0.009949641079590196,0.06115114216682627
-5.0,0.12200000000000001,0.21300000000000002,4.864373398063436,100,0.009949641078914299,0.062475912461318006
-5.0,0.12200000000000001,0.22,4.852462027953178,100,0.009949641079396917,0.06380097009152075
-5.0,0.129,0.08,4.919797015546113,99,0.009949641078802439,0.039948253288101254
-5.0,0.129,0.08700000000000001,4.934950383714499,100,0.009949641078957195,0.04108582172953412
-5.0,0.129,0.094,4.9501365348606985,99,0.009949641077678425,0.042212166123630435
-5.0,0.129,0.101,4.965355168192188,100,0.009949641075968307,0.043327432001640465
-5.0,0.129,0.10800000000000001,4.9804867396225525,196,0.00994964124688778,0.0412928456754551
-5.0,0.129,0.115,4.99179070772088,195,0.009944780562399174,0.027719518228613516
-5.0,0.129,0.12200000000000001,4.9980581140515365,177,0.009949641253697177,0.013295552509805408
-5.0,0.129,0.129,5.000001626065855,199,0.019899278922837067,0.0004030012256125426
