cxy,cyx,min_abs,site,max_weight,maj_sim
0.08,0.08,0.0025007448167628232,199,0.009949641079306872,0.29289321881395247
0.08,0.08466666666666667,0.002574716539756605,199,0.009949641079307923,0.28295175431214736
0.08,0.08933333333333333,0.002650638775249403,199,0.00994964107930688,0.2737240236305374
0.08,0.094,0.0027283486963441453,0,0.009949641079306768,0.26535349334913827
0.08,0.09866666666666667,0.002807697871220982,199,0.009949641079306919,0.2572410703800576
0.08,0.10333333333333333,0.002888551210988508,199,0.009949641079306865,0.25127204858283114
0.08,0.10800000000000001,0.00297078590547617,199,0.009949641079307351,0.26131191361000106
0.08,0.11266666666666666,0.0030542903806084487,199,0.009949641079307453,0.2386677317218041
0.08,0.11733333333333335,0.0031389632997547157,199,0.009949641079306855,0.23090804086594896
0.08,0.122,0.0032247126229425194,0,0.009949641079306924,0.22639150327692792
0.08,0.12666666666666668,0.0033114547315571067,0,0.009949641079306676,0.23268557563482284
0.08,0.13133333333333333,0.003399113621661841,0,0.009949641079306742,0.217780520723602
0.08,0.136,0.003487620165959937,199,0.00994964107930757,0.22047034535985377
0.08,0.14066666666666666,0.0035769114423315628,199,0.009949641079307939,0.21466654535714325
0.08,0.14533333333333334,0.003666930125565895,199,0.00994964107930791,0.20461658225390233
0.08,0.15000000000000002,0.0037576239381438697,199,0.009949641079306844,0.3997823212795808
0.08,0.15466666666666667,0.003848945155554912,199,0.009949641079307006,0.39752959196662385
0.08,0.15933333333333333,0.003940850161533005,199,0.009949641079307807,0.29317508877112686
0.08,0.164,0.004033299048678339,0,0.009949641079306815,0.19659079375259414
0.08,0.1686666666666667,0.004126255260125333,199,0.009949641079307727,0.41434548193289944
0.08,0.17333333333333334,0.004219685268190498,0,0.009949641079307379,0.35168465998380927
0.08,0.178,0.004313558286227592,199,0.009949641079307603,0.18280073731322777
0.08,0.18266666666666667,0.004407846010242467,199,0.009949641079307854,0.20348173899765853
0.08,0.18733333333333335,0.004502522387125674,199,0.009949641079307346,0.1777173484771325
0.08,0.192,0.004597563406670249,199,0.009949641079306855,0.26613225876302815
0.08,0.19666666666666668,0.004692946914825025,199,0.009949641079307734,0.20879674823205452
0.08,0.20133333333333336,0.004788652445898323,0,0.00994964107930677,0.17170919981844668
0.08,0.20600000000000002,0.004884661071668961,0,0.009949641079306798,0.16990582012493072
0.08,0.21066666666666667,0.004980955265586728,199,0.009949641079307955,0.17795388554012648
0.08,0.21533333333333332,0.005077518780438415,199,0.009949641079306943,0.35313630966787213
0.08,0.22,0.005174336538036228,199,0.009949641079308943,0.16818019509133075
0.08466666666666667,0.08,0.002574716539756605,199,0.009949641079307923,0.3029763459089434
0.08466666666666667,0.08466666666666667,0.002646621597740706,199,0.009949641079306869,0.2928932188139527
0.08466666666666667,0.08933333333333333,0.0027205379134256124,0,0.009949641079307197,0.2834810230304041
0.08466666666666667,0.094,0.002796305997270962,199,0.009949641079306909,0.2749951670930574
0.08466666666666667,0.09866666666666667,0.002873779385685117,199,0.009949641079308309,0.26679247766175995
0.08466666666666667,0.10333333333333333,0.002952823855233127,0,0.009949641079306968,0.2591820167616403
0.08466666666666667,0.10800000000000001,0.0030333165871214785,199,0.009949641079306532,0.2519889397847036
0.08466666666666667,0.11266666666666666,0.0031151453177352684,0,0.009949641079306537,0.33587900611900334
0.08466666666666667,0.11733333333333335,0.003198207500888006,199,0.009949641079308798,0.24216502840810072
0.08466666666666667,0.122,0.0032824094994524902,199,0.00994964107930691,0.2353908623960238
0.08466666666666667,0.12666666666666668,0.0033676658178452,199,0.009949641079306902,0.35253375670495435
0.08466666666666667,0.13133333333333333,0.0034538983821904568,199,0.009949641079306886,0.22314257301826634
0.08466666666666667,0.136,0.0035410358715411224,199,0.0099496410793068,0.28774281221540876
0.08466666666666667,0.14066666666666666,0.003629013101080369,199,0.009949641079306877,0.26602780376432345
0.08466666666666667,0.14533333333333334,0.0037177704565119485,0,0.009949641079306763,0.2100848134882033
0.08466666666666667,0.15000000000000002,0.0038072533777044892,0,0.009949641079306626,0.20627029167282362
0.08466666666666667,0.15466666666666667,0.0038974118889333886,0,0.009949641079306567,0.39513542492836873
0.08466666666666667,0.15933333333333333,0.00398820017265733,199,0.009949641079308798,0.22831714256004398
0.08466666666666667,0.164,0.004079576183576128,199,0.009949641079306872,0.19615754040369193
0.08466666666666667,0.1686666666666667,0.004171501299681357,199,0.009949641079306798,0.1931740852613184
0.08466666666666667,0.17333333333333334,0.004263940007096068,199,0.009949641079307682,0.41068837366613753
0.08466666666666667,0.178,0.0043568596156191575,199,0.009949641079307837,0.2795012044573494
0.08466666666666667,0.18266666666666667,0.004450230002094435,199,0.00994964107930784,0.28706303844273573
0.08466666666666667,0.18733333333333335,0.00454402337891202,199,0.009949641079307084,0.19893260553869274
0.08466666666666667,0.192,0.004638214085171621,0,0.009949641079306784,0.18055771944743182
0.08466666666666667,0.19666666666666668,0.004732778398245199,199,0.009949641079307833,0.1962764430467584
0.08466666666666667,0.20133333333333336,0.004827694363683244,199,0.009949641079307419,0.30907947449173145
0.08466666666666667,0.20600000000000002,0.0049229416416010086,199,0.009949641079306895,0.17445982520040637
0.08466666666666667,0.21066666666666667,0.005018501367869188,199,0.009949641079307361,0.1739281265866679
0.08466666666666667,0.21533333333333332,0.00511435602859589,199,0.00994964107930761,0.42599807482858887
0.08466666666666667,0.22,0.005210489346538449,199,0.009949641079307537,0.18933748225185798
0.08933333333333333,0.08,0.002650638775249403,199,0.00994964107930688,0.3125950977975651
0.08933333333333333,0.08466666666666667,0.0027205379134256124,0,0.009949641079307197,0.30243231502209145
